DAY	KENNEL	TYPE	TITLE	RUN	HARES	TIME	START	MAP	HASHCASH	TURDS	TWEET	TWILIGHT	DATE	DESC	UPDATE
1	Fort Worth Hash	fw	Groundhog Day	740	SuperHomo<br />Katman Goo	3:00 PM CST	<br />2200 Trinity Park Dr<br />Fort Worth, TX 76107	https://maps.google.com/maps?q=32.7496,+-97.3485(SuperHomo+sez+it%E2%80%99s+here)&hl=en&ie=UTF8&ll=32.749601,-97.348502&spn=0.017632,0.032208&sll=32.820664,-96.731542&sspn=1.127511,2.06131&t=m&z=16&iwloc=A	$7.00 &mdash; BYOB prelube &mdash; Virgins pay nothing!			6:26 PM CST	Saturday, February 1, 2014	Date: 2/1/2014 (Day before Groundhog Day for the foreigners)<br />Time: 3:00 PM CST<br />Start address: <br />2200 Trinity Park Dr<br />Fort Worth, TX 76107<br />32° 44.978', -97° 20.912'<br />This is in Trinity Park off University, just go all the way to the back of the park and there is a cul-de-sac there at the very north end of the park within sight of the W 7th bridge. Look for hashers.<br />Hares: Katman Goo, SuperHomo..., and a mystery hare<br />Hash cash: $7.00<br />Description: <br />"Okay campers, rise and shine, and don't forget your booties cause its cold out there...its cold out there every day."<br /><br />Yes wankers it is that time of the year again where we commemorate a big ass rat coming out of the ground to look for his shadow. Not to forget the great movie with the same name with the amazing Bill Fucking Murray who also adorns the t-shirt for this hash.<br /><br />This year your hares took inspiration from both, but mostly from the former instead of the latter like last year. We will be letting you play like groundhogs and go UNDER the ground, but you have to look for your shadow on the way out to stay with the tradition. Yes you get to be thrust deep into a deep, dark, and moist hole with a big shaft!<br /><br />With that said we cannot stress enough BRING FLASHLIGHTS!! Yes you will need them, so if you don't have one go get one before this trail or else you can get REALLY fucking lost in the dark. Also this trail is NOT TURD friendly at all, not the trail and not the on in. So just leave Fido at home with a big bone (or boner, your choice) at home for this one.<br /><br />Also bring dry socks, shoes, and pants. You will need to wear long pants on this trail and they will get wet (probably shin high at the tallest unless you do like the hares and bust ass in the tunnels getting fully wet). Again we cannot stress enough to bring flashlights, and if you have maglites bring those as they work well on this trail.<br /><br />Are you wankers ready for winter to be over and a day where you can pretend you are a big ass rodent looking for a shadow?<br /><br />It's going to be a beautiful 69 degrees out there so it is a gorgeous day for hashing, at least for the time you are outside. Plus I hear we are going to be having some amazing food provided after circle.<br /><br /><span style="color:#900">Special trail notes:<br />Just remember leave Fido at home, bring a flashlight (preferably a Maglite or a good waterproof light) with good batteries, and some clothes you can change into afterwards. This is very important and EVERYBODY needs their own flashlight with good batteries on this trail. If you forget your light or don't have one WDT has some he will gladly sell you.<br /><br />You will see some cool shit on this trail that very few people have ever seen, so if you have a waterproof (and muck proof) camera with a flash please bring it.<br /><br />If you are going to be missing trail and want to come to the On-In please email myself or Katman Goo well prior to trail so we can tell you how to get there as cell reception will be spotty at best.<br /><br />In accordance with ADA if you need special disability assistance let us know. For instance we already have a team of highly trained sewer rats to help lead Bubble, so if you see him sunbathing with them on the banks of the Trinity or swimming down it with them don't be frightened he likes doing that.</span><br />	Fri, Jan 31, 2014 at 11:46 AM
2	Super Bowl Watching Party	superbowl.png	Super Bowl Watching Party		Yellow Rose of Texas	5:00 PM CST	<br />6805 Barkworth Dr<br />Dallas 75248	https://maps.google.com/maps?q=+6805+Barkworth+Dr,+Dallas+75248&hl=en&sll=32.820664,-96.731542&sspn=1.127511,0.88028&hnear=6805+Barkworth+Dr,+Dallas,+Texas+75248&t=m&z=17&iwloc=A	BYOB and snacks			6:27 PM CST	Sunday, February 2, 2014	Party is back on at my house. Come watch the game with your hasher friends. There will be alcohol and screaming at the TV and some of us will actually watch the game. And watch the commercials. The TV is pretty big and I have TiVO so I will be recording it. <br /> BYOB and snacks.<br /> Party starts 30 min before kick off (someone email me separately and tell me so I will be at home on time!).<br />Not Turd friendly. <br />Wear your favorite jersey from any football team. <br /><br />If the weather is nice, you might be able to spot one of my 7 turtles. <br />Thanks Pork Me Now, Field Tester, and Skippy for encouraging the party to go on. <br /><br />On a different note, there is a bike ride that morning convening on West End for lunch. I will likely go. Leaving from Richardson RBM at 10am. <br />http://www.greaterdallasbicyclists.com/<br /><br />Hooray for football, friends, and beer!<br />Yellow Rose of Texas<br />	Thu, Jan 30, 2014 at 9:51 PM
4	Tasty Tuesdays	tt	Malarkey’s Tavern		Blonde Dyke Bar	6:00 PM CST	<br />Malarkeys Tavern<br />4460 Trinity Mills Rd #100,<br />Dallas, TX 75287	https://maps.google.com/maps?q=malarky%27s+tavern&hl=en&sll=32.820664,-96.731542&sspn=1.0098,0.601501&t=m&z=16&iwloc=A				6:28 PM CST	Tuesday, February 4, 2014	Tasty Tuesday is same as last week! <br /><br />Malarkey's Tavern <br />4460 Trinity Mills<br />Dallas TX<br /><br />Trivia starts at 730<br /><br />Drink Specials<br /><br />On behalf of....the lovely and amazing --- Blonde Dyke Bar<br /><br />	Tue, Feb 4, 2014 at 2:19 PM
5	Dallas Urban Hash	du	Urban Shiggy (West)	235	Shut the Fúçk<br />Up, Special Fred	7:00 PM CST	<br />near 609 Westmount Ave, <br />Dallas, TX 75211<br /><br />	http://goo.gl/maps/jD8Hr	$7.00	Friendly		6:29 PM CST	Wednesday, February 5, 2014	Old East Dallas is all urban blighted and all. But to get the real Urban Shiggy you need to tour Oak Cliff. What does West Dallas offer that East Dallas does not? Hills. You want to stay warm on trail, right? Nothing gets the temperature up and the sweat going like a little hill work. <br /><br />I estimate trail to be between 3 and 4 miles. You know my work. Good challenging checks. But you will always know when you are on trail. No games. There will be some major streets to cross so fucking stay awake. It is going to be cold so stay warm. On-in will be indoors (of course.) <br /><br />Park up the ramp on the little hill just off Westmount near Davis. This is an A to A trail. On-in will be the Tradewinds Social Club. Thrillist nominated it as one of eight great dive bars in Dallas. <br /><a href="http://www.thrillist.com/drink/dallas/dive-bars-in-dallas-eight-great-dallas-dives">8 Great Dive Bars in Dallas</a><br />TURD friendly, full bar, and bar pizza. Plastic accepted. <br /><br />And for you Mid-Cityites and Fort Worthians, this is about as close as a DUH is going to get. So dress for comfort and warmth and make an appearance. What do you have to loose other than your dignity?<br />	Mon, Feb 3, 2014 at 11:07 PM
6	FU H3 Hash	fu	Incumming Admin		<span style="font-size:2em;line-height:normal;color:#fff;">Free!</span>	7:00 PM CST		http://www.fuh3.com/?ai1ec_event=open-fuh3-89-february-6th-open&instance_id=2440	$7.00			6:30 PM CST	Thursday, February 6, 2014		Thu, Feb 6, 2014 at 12:28 PM
7	Happy Hour	hh	Analversary<br />Happy Hour		The Price is <br />Wrong, Bitch!<br />Wrong Dong Thong	5:30 PM CST	<br />BLUE MESA<br />14866 Montfort Dr<br />Dallas, TX<br />(972) 934-0165	https://maps.google.com/maps?q=Blue+Mesa+Grill,+Montfort+Drive,+Dallas,+TX&hl=en&sll=32.951387,-96.818014&sspn=0.007779,0.009238&oq=BLUE+MESA++Dallas,+TX&t=h&hq=Blue+Mesa+Grill,&hnear=Montfort+Dr,+Dallas,+Texas&z=15&iwloc=A				6:31 PM CST	Friday, February 7, 2014	Two wrongs don't make a right, but they make a good excuse to DRINK!!<br /> <br />One year ago today, I met WDT to make good on a Super Bowl bet I’d lost and one year later I’m still paying!!!  BUT WAIT THERE’S MORE….. he introduced me to the HASH and all of you WANKERS whom I adore!!<br /> <br />Actually, it’s a month of ANALversaries for me!!   It is also the analversary of my birth 2/20 and my hash birth 2/27 so cum out and celebrate!<br /> <br />CUM drink with us where it all started:<br /> <br />Friday, February 7th<br /> <br />BLUE MESA<br />14866 Montfort Dr<br />Dallas, TX<br />(972) 934-0165<br /> <br />5:30 PM<br />$4.00 HAPPY HOUR<br /><span style="font-size:0.8em;">4 pm – 7:30 pm<br />IN THE BAR ONLY<br />Large Blue Margaritas, Mojitos, Well Drinks, Martinis, House Wine, and Sangria Blue Swirl and Sangria all for $4.00.<br />Domestic draft beer is $2.50. Imported draft beer is $3.00 <br />FREE QUESADILLA BAR 4 pm-6:30 pm</span>	Tue, Feb 4, 2014 at 2:35 PM
8	Dallas Hash	dh	Leather and Lace	898	Bunny Cum	3:00 PM CST	North end of the old Six Flags Mall, which is at the NE corner of Hwy 360 and Division St	https://maps.google.com/maps?q=32.74540,-97.05678(Bunny+Cum+sez+Start+Here!)&hl=en&ll=32.745396,-97.056785&spn=0.017109,0.01869&sll=32.7454,-97.05678&sspn=0.004277,0.004672&t=h&z=16&iwloc=A	$7.00	Not Friendly		6:32 PM CST	Saturday, February 8, 2014	      The Leather and Lace trail (Hounds in their best Lace and Harriettes in there best Leather or Lace) starts at the North end of the old Six Flags Mall ( NE corner of Hwy 360 and Division St)  in Arlington. <br /><br />The on after is at the Pump (NW corner of Randall Mill and Hwy 360) .<br /><a href="http://goo.gl/maps/kUB1L">Get Map</a><br /><br /> Mystery Hare will be grilling Hamburgers and Hot Dogs for all. May need dry shoes and socks, possibly a flashlight. Turd friendly except for on after.<br /><br />Your Hare, Bunny Cum<br />	Thu, Feb 6, 2014 at 2:33 PM
9	Sunday Brunch	sb	Blue Goose Cantina<br />Addison			11:00 AM CST	<br />Blue Goose Cantina<br />14920 Midway Road<br />Addison, TX 75001	https://maps.google.com/maps?q=Blue+Goose+Cantina+14920+Midway+Road+Addison,+TX+75001&hl=en&ll=32.951739,-96.838313&spn=0.008796,0.016512&sll=32.820664,-96.731542&sspn=1.127511,2.113495&t=m&hq=Blue+Goose+Cantina&hnear=14920+Midway+Rd,+Addison,+Texas+75001&z=17&iwloc=A				6:33 PM CST	Sunday, February 9, 2014	Drinking on Jesus Day (aka brunch) is back on....<br /><br />The first official brunch of 2014 will be...<br /><br />2/9/14 at 11am<br /><br />Blue Goose Cantina<br />14920 Midway Road<br />Addison, TX 75001<br /><br />$2 Miller Lite all day<br /><br />Please let me know if you are cumming — so that I can get a big enough table.  Otherwise you will have to fend for yourself.<br />	Thu, Feb 6, 2014 at 11:24 AM
10	NODUH Hash	nd	Just Say No to VD	96	Little Ring<br />WDT 	7:00 PM CST	Downtown Carrollton Dart station	https://maps.google.com/?ll=32.954295,-96.908169&spn=0.007472,0.00854&t=m&z=17&iwloc=lyrftr:m,0x864c263d6c70b1bb:0x1385a54daf165fa6,32.954367,-96.908566	$7.00	Not Friendly		6:34 PM CST	Monday, February 10, 2014	Tomorrow is the 6th anal Just Say No to VD hash. <br /><br />Start is 6:30 at the Downtown Carrollton Dart station<br /><br />Pack away at 7:00<br /><br />Hares: Little Ring Riding Hood, WDT<br /><br />Hash cash: $7<br /><br />Bring flashlights, warm clothes for circle and a general disdain for all things Valentines day. <br /><br />Trail is not TURD friendly. <br /><br />On ~ snowy trail ~ on<br /><br />Little Ring<br />__._,_.___<br />	Mon, Feb 10, 2014 at 4:29 PM
11	Tasty Tuesdays	tt	Malarkey’s Tavern		Deeee Beeee Ellll	6:00 PM CST	<br />Malarkey’s Tavern<br />4460 Trinity Mills Rd #100,<br />Dallas, TX 75287	https://maps.google.com/maps?q=malarky%27s+tavern&hl=en&sll=32.820664,-96.731542&sspn=1.0098,0.601501&t=m&z=16&iwloc=A				6:34 PM CST	Tuesday, February 11, 2014	Us half minds kicks some ass last night and won trivia!  And a $50 gift certificate to the restaurant.  So we are going there again for the next Tasty Tuesday.<br /><br />Malarkey's Tavern<br />4460 Trinity Mills Rd. Ste. 100<br />Dallas, TX 75287<br /><br />Trivia starts at 7:30<br /><br />Be there sometime before that.  Or after.<br /><br />See you next Tuesday!!<br /><br />Deeee Beeee Ellll<br /><br />P.S. If anyone else has an idea for a Tasty Tuesday, claim it and make it happen.  We will continue to go to Malarkey's Tavern until someone else changes the location.<br />	Thu, Feb 6, 2014 at 11:35 AM
12	Dallas Urban Hash	du	Lunar New Year<br />Black History Month<br />Limp Dick Hash	236	 Penis Fly Trap<br />&amp; Just ?	7:00 PM CST	<br />To clarify where to meet tonight, we will be in the gravel parking lot at 844 1st Ave. in the Expo Park neighborhood of Dallas.  Not in Expo Plaza or any other park.	https://maps.google.com/maps?q=844+1st+Avenue+&hl=en&sll=32.820665,-96.731542&sspn=0.982103,1.014862&t=h&hnear=844+1st+Ave,+Dallas,+Texas+75226&z=17&iwloc=A	$7.00	Friendly		6:35 PM CST	Wednesday, February 12, 2014	Tomorrow, 2-12-2014 is the Lunar New Year Black History Month O’Limp Dick Hash. <br /><br />Start: 6:30 at 844 1st Avenue, Dallas in Expo Park<br /><br />Pack away at 7:00<br /><br />Hare: Penis Fly Crap<br /><br />Hash Cash: $7<br /><br />Bring:  Flashlight, Virgins, Olympic Apparel<br /><br />Trail is TURD friendly, & the On-in has a large TURD friendly patio.<br /><br />Cum to this week’s hash were there will be much to celebrate. With the Year of the Horse, Black History Month, & the Winter O’Limp Dicks all under way, this trail will feature sights and sounds celebrating sport, the Lunar New Year, and Black History.    Wear gear from for your favorite O’limp Dick sport or country.  Going Nekkid as the original O’Limpians is not advised until late into the night  The On-In will provide Märzen as a down-down option.	Wed, Feb 12, 2014 at 4:51 PM
13	FU H3 Hash	fu	Love Stinks!		Gangrene Hose<br />Oh Momma Been Lay’n	7:00 PM CST		http://www.fuh3.com/?ai1ec_event=fuh3-90-february-13th-2nd-anal-love-stinks&instance_id=2425	$7.00			6:36 PM CST	Thursday, February 13, 2014		Thu, Jan 2, 2014 at 10:41 AM
14	Happy Hour	hh	Just Say No <br />To VD HH		Daddy’s Big Load	7:00 PM CST	<br />Vernon's Gastropub<br />5290 Beltline Rd Ste 142<br />Dallas TX 75254<br />(Southeast corner of Montfort and Beltline - In back corner)	https://maps.google.com/maps?q=Vernon%27s+Gastropub&hl=en&ll=32.952378,-96.818562&spn=0.011506,0.014462&sll=32.820664,-96.731542&sspn=0.737445,0.925598&hq=Vernon%27s+Gastropub&t=m&z=16				6:37 PM CST	Friday, February 14, 2014	Just say no to VD and join us for happy hour to help me celebrate 14 years of hashing!!<br /><br /><a href="">Vernon’s Gastropub</a><br />5290 Beltline Rd Ste 142<br />Dallas TX 75254<br />(Southeast corner of Montfort and Beltline - In back corner)<br /><br />Be there whenever you get there!!  Get us a table if you get there early.<br /><br />http://vernonsgastropub.com/<br /><br />On HH,<br />Deeeee Beeeee Elllll<br />__._,_.___<br />	Thu, Feb 13, 2014 at 5:46 PM
