DAY	KENNEL	ICON	TITLE	RUN	HARES	TIME	START	MAP	HASHCASH	TURDS	TWEET	TWILIGHT	DATE	DESC	UPDATE
1	Dallas Urban Hash	DUH.png	9th Analversary of the DUHHH	469	DUHHH Mismanagement	6:30PM Gather; 7:00PM Hares Away; 7:15PM Pack Away<br />*LIVE LAY*	BEHIND Cox Farms Market - <br />778 Fort Worth Ave, Dallas, TX 75208	https://goo.gl/maps/F4taua1DmqT2	<strong>$10.00</strong>	Trail - yes. On In - ? (will update Tuesday)		8:52 PM	Wednesday, August 1, 2018	It's the 9th year analversary of this debaucherous group we call the Dallas Urban Hash House Harriers! This year marks the retirement of your glorious leader Lumber Jackoff. <br /><br />After two years of being in charge of keeping you wankers entertained and mostly herded in the direction of the beer check, Lumber Jackoff has decided it's time to get back to the basics: being a drunk. After unsuccessfully searching for someone, anyone, who could possibly live up to his standards... erections were held. He handled the erections and you all voted for the next tyrant: Lulu's Travelling Shit Show. Like him, hate him, just remember, you picked him and there's no way he can be worse than Lumber.<br /><br />So, cum on out for the Analversary: the weather will be under 100°. There will be trail. There will be food. There will be beer. AND THERE WILL BE A POOL!  Don't forget your swim trunks.<br /><br />Trail is A to A prime.	7/31/18 7:27 (Lumberjack Off) 1.28
3	Happy Hour	happy3.png	Sneaky Happy Hour		Oscar Not So Wilde	7:00 PM	Sneaky Pete's! - 2 Eagle Point Rd, Lewisville, TX 75077	https://goo.gl/maps/6gDYSiP5Wn12	PAYG	?		8:51 PM	Friday, August 3, 2018	Depending on work, I might not make it at 7 but don't let that stop the party. I'll be there! 	8/3/18 8:10 (Lumber Jackoff) 1.28
4	Dallas Hash	dallas.png	SPIT Hash	1015	Bedside Spectator<br />Mystery co-hare	3:00 PM	Northstar Market Place<br />1130 Belt Line Road<br />Garland, TX 75040	https://www.google.com/maps/place/Northstar+Market+Pl/@32.9435686,-96.6460196,19.04z/data=!4m5!3m4!1s0x864c1dcbaa4b898f:0x3a197959882a3864!8m2!3d32.9441011!4d-96.646312896.646015	$7.00	Yes		8:50 PM	Saturday, August 4, 2018	Bedside and his mystery co-hare have a 3-5 mile trail in Garland planned.  <br /><br />What to Bring:  $7, Prelube beer, roll of nickels, virgins, change of shoes, bugspray, cobweb stick, PI block, sunscreen, a towel, and swimsuit (optional) for POOL ENDING!<br /><br />Backyard is open to autowankers and TURDs.  Please PM Bedside or Three Strokes for address.  The grill is open if you want to throw some meat on it.  And since the trail is Far East, crash space is available :)<br /><br />Feel free to cum early and bring a roll of nipples...I mean nickels to play some vintage arcade games ay NickelRama.  But drink your beverages before entering...it is a non-drinking establishment.	8/1/18 9:12 (Three Strokes) 1.28
6	NODUH Hash	NoDHHH2.png	2nd Anal Staycation	214	Casting Cooch	7:00 PM	Katie Jackson Park<br />4900 Haverwood Ln, Dallas, TX 75287<br />Dallas, TX 75006	https://www.google.com/maps/place/Katie+Jackson+Park/@33.0066267,-96.8195678,15z/data=!4m2!3m1!1s0x0:0x7473e198e6d3c524?sa=X&ved=2ahUKEwjfqdHsi9fcAhUGRqwKHSmvBBQQ_BIwCnoECAoQCw	$5.00	Friendly. On-After prolly not?		8:48 PM	Monday, August 6, 2018	Last year you all came. Came out to help me celebrate my staycation that is. And this year I'm gonna make you cum again. Does that make this the second cumming?<br /><br />Because of the way my nerd job works I, your friendly neighborhood Casting Cooch ( #MeTooPlease! #MeNextSir ), always have vacation time to burn in August. <br />Time to burn, yes. Money to burn, oh y.... Er...no. <br />So once again I'm on staycation instead of going somewhere fun.<br /><br />Therefore I'm gonna lay a trail that promises to be even shittier than Staycation version 1.0 for you all wankers and wankettes.<br /><br />Don't lie, you don't have any money for a fancy vacation either so scrounge up a measly $5 and cum out and distract me from my penury!<br /><br />Bring: Flash lights, Vacation Destination T-shirts. Just like last year, please leave your twinkie hash shirts at home (I'm talkin' to you, Joe!)<br />Instead, wear a T-shirt with the name of nice vacation spot you've been to in the past when you actually had a few bucks in your pocket. <br />You know, before you blew all your money on booze and/or sugar daddy "dating" sites. Or you've blown (heh) through all the money your sugar daddy gave you.<br />Hawaiian shirts are also staycation-acceptable attire.<br />And no staycation would be complete without plenty of virgins who don't want to be virgins anymore. We can help you with that!	8/6/18 0:24 (joel) 1.28
7	Dallas Urban Mountain Bike Hash	DUMB.png	Start at the Usual Place!	69	Deflated Rubber	6:59 PM	White Rock Lake Spillway Parking Lot	https://goo.gl/maps/Ch1VTormVnA2	Pay-as-you-go	If they can keep up.		8:47 PM	Tuesday, August 7, 2018	Deju screw... Pack starts at the Spillway, goes to a bar, and then another bar, then back to the Spillway!	8/6/18 19:58 (big_g) 1.28
7	Trivia Tuesdays	triviaTuesdays.png	Malarkey’s Tavern		Team C U  Next Tue	7:00 PM	<br /><br /><a href="http://www.malarkeystavern.com/">Malarkey's Tavern</a><br /><br />4460 Trinity Mills Rd<br />Dallas, TX 75287	https://www.google.com/maps/place/Malarkey%27s+Tavern/@32.989746,-96.831213,17z/data=!3m1!4b1!4m2!3m1!1s0x864c23f9148e0fcb:0x3d508e132e71713d				8:47 PM	Tuesday, August 7, 2018	Tonight is Trivia Tuesday at Malarkey's off Tollway and Trinity Mills. Starts at 7:30. Cum play with us. Also get there early if you can. Hope to see you tonight!	11/29/17 0:20 (Hopper) 1.31
8	Dallas Urban Hash	DUH.png		470	Deport-a-Potty & Lumber Jackoff	7:00 PM	Mother Truckers - 2110 W Northwest Hwy suite a, Dallas, TX 75220	https://goo.gl/maps/YVjF1Z2H3RS2	$8.00			8:46 PM	Wednesday, August 8, 2018		8/7/18 17:10 (MR Dicks) 1.28
10	Happy Hour	happy3.png	Let's All Go To The Lobby!	69		8:00 PM	Coyote Drive-In					8:44 PM	Friday, August 10, 2018	Coyote Drive-in in Lewisville, TX. Shows are The Meg and Jurassic World. Be there by sundown ~8pm, shows start at 9:05 PM.	8/8/18 9:54 (big_g) 1.28
11	Fort Worth Hash	ftworth.png	Saturday is a hashing day	859	IED & PO	3:00 PM	1505 W. Jefferson St #120<br />Waxahachie, TX 75165	https://www.google.com/maps/place/1505+W+Jefferson+St+%23120,+Waxahachie,+TX+75165/@32.3970685,-96.8681947,17z/data=!3m1!4b1!4m5!3m4!1s0x864eeee2bfe3c5bb:0xab38647226b9fadf!8m2!3d32.397064!4d-96.866006	$7.00; BYOB prelube beer	Yes		8:43 PM	Saturday, August 11, 2018	It's that time again for the Hachie Quarterly, yes I stole that lol.. I know a lot of you will be leaving us for NOLA RDR this week but for those of you, like us, who could not get out of town, come enjoy our great trail Petered Out has for you.. There will be shade, there will be shiggy, there will be beer and there will be shots.. what more does one need... So wear your red this weekend or not, we don't care we just want you to come have fun with us...<br /><br />What to bring: The usual, but you may also want to include a change of shoes for sure and possibly a change of clothes, bug spray recommended....<br />And WEAR PINK in honor of Pink on the Inside :)<br /><br />Trail and on in are both Turd friendly.	8/8/18 20:29 (Three Strokes) 1.28
12	YakH3	YAKH3-icon2-01.png	Sunday Sunday Funday	11	Bedside Spectator	12:00PM	Racetrac<br />1350 Debbie Lane<br />Arlington, TX 76002	https://www.google.com/maps/place/1350+Debbie+Ln,+Arlington,+TX+76002/@32.606932,-97.0822297,17z/data=!3m1!4b1!4m5!3m4!1s0x864e8a1d102c1493:0x6a8c959d136fa6bf!8m2!3d32.606932!4d-97.080041	BYOB	Yes		8:42 PM	Sunday, August 12, 2018	Sunday Sunday Funday! Time to break out the yaks and get them wet! We are going to enjoy an A to A paddling trail on beautiful Joe Pool Lake. And no it won't be all lake paddling. We will be grilling easy stuff at the end. Reach out to me if you want to coordinate more grub than dogs and chips.<br /><br />Bring your yaks, canoes, and floaties if you just want to chill at the beach. And of course your PDFs, whistles and booze. Remember Jesus won't let you buy alcohol until noon so stock up Saturday. <br />Camp chairs will probably be needed as well	8/12/18 9:18 (Three Strokes) 1.28
