DAY	KENNEL	ICON	TITLE	RUN	HARES	TIME	START	MAP	HASHCASH	TURDS	TWEET	TWILIGHT	DATE	DESC	UPDATE
1	Dallas Urban Hash	DUH.png	LET'S KEEP RUNNING<br />LIVE LAY	557	Fruity Pebbles	6:30 PM	Lake House Bar and Grill (back parking lot)<br />7510 E NW Hwy (at W. Lawther)<br />Dallas, TX 75214<br />(Just across from the DART Blue Line - White Rock Station)	https://www.google.com/maps/place//data=!4m2!3m1!1s0x864ea0348c2f9485:0x571f3af835cc5079?utm_source=mstt_1	$3.00	Yes		9:08 PM	Wednesday, July 1, 2020	DUHHH is Up Again with a Live Lay !!!<br /><br />Let's get in a mid-week run!!!<br />Time: 6:30 PM: Meet up — 7:00 PM: Pack out!<br />Socially distance at the On-In. BRING A MASK for On-In.<br /><br />Bring Masks, Virgins, Flashlights Whistles you, know the usual stuff. We'll socially distance at the On-In.<br /><br />Hash cash: $3/beer; $1/water Each gets his/her own bevs at the On-In (to keep handling them to just you).<br /><br />TURDs (Dogs): Yes, on trail and On-In.	7/1/20 9:27 (Three Strokes) 1.28
3	YakH3	YAKH3-HH.png	YAK Happy Hour		HOLIDAY WEEKEND HH	4:00 PM	Murrell Park - Rockin' S Bar and Grill (Twin Coves Marina)<br />4600 Murrell Park Road<br />Flower Mound, TX 75022	https://www.google.com/maps/place/Rockin'+S+Bar+and+Grill+at+Twin+Coves+Marina/@33.0041694,-97.1039074,17z/data=!4m12!1m6!3m5!1s0x864dd331b677187f:0x48b6089e1b0244c3!2sRockin'+S+Bar+and+Grill+at+Twin+Coves+Marina!8m2!3d33.0041649!4d-97.1017134!3m4!1s0x864dd331b677187f:0x48b6089e1b0244c3!8m2!3d33.0041649!4d-97.1017134	BYOB	Yes		9:08 PM	Friday, July 3, 2020	Join us for another Yak HH!<br /><br />Meet at the Murrell Park (Rockin S Bar & Grill parking lot) on Grapevine Lake at 4PM. Have a prelube beer or two then head out to either paddle, run, or bike the DOBRA trails. Just wanna relax after a long, hard work week? Cum fish or bank wank...we won't judge. It's a great spot to pop up a chair and chill. We'll meet back at the ramp at dusk for another drink or five. Then possibly on-after at Rockin' S Bar and Grill (seating at 50% capacity)<br /><br />What to Bring: Kayak, SUP, or canoe. Fishing gear (optional). Booze.  Swimsuit and towel...we're playing in the water!!!  Snacks if you want. Sunscreen and bug spray. A light for when it gets dark, a whistle, and your PFD. Money for on-after (optional).<br /><br />Parking is free for day use.  The put-in location is at the end of the North Shore trail system.<br /><br />Rockin' S Bar and Grill at Twin Coves Marina<br />4600 Murrell Park Road<br />Flower Mound, TX 75022<br /><br />Paddle On~On!	6/30/20 19:50 (Three Strokes) 1.28
4	DallasH3 and Full Moon H3	Calendar Icons-07.png	July 4th Spectacular Joint Hash		Ben Dover, Treadmarks, and Screwardess	4:00 PM	Ron's Tavern<br />1829 Airport Fwy.<br />Beford, TX 76021	https://www.google.com/maps/place/Ron's+Corner+Tavern/@32.8378308,-97.1405648,17z/data=!3m1!4b1!4m5!3m4!1s0x864e7f071ed6d491:0x9a7fb8f207dba245!8m2!3d32.8378308!4d-97.1383708	$10	Yes.		9:07 PM	Saturday, July 4, 2020	July 4th Spectacular Hash is a joint effort! <br />Ben Dover, TreadMarks, and Screwardess<br />Dallas H3 and the Full Moon Hash combining to make for a fantastic time.<br />A to B, almost 4 miles with tunnels and minimum shiggy. <br /><br />Start at 4pm at the parking lot of my favorite bar, Ron’s Tavern.<br />(Feel free to prelube at the bar)<br /><br />1829 Airport Fwy.<br />Bedford, TX. 76021<br /><br />Bring swim suites, sun tan lotion, towels, and chairs. Bring extra cash for hash merchandise.  DallasH3 and Full MoonH3 will have shirts and stuff to sell!  (PayPal, Vemno, and Zelle accepted)<br /><br />FULL BUCK MOON: July is the month of the Full Buck Moon. At this time, a buck’s antlers are in full growth mode. This Full Moon was also known as the Thunder Moon because thunderstorms are so frequent during this month. <br /><br />Full moon peaks at 11:44pm.<br /><br />***SPECIAL FOURTH OF JULY SPECTACULAR HASH!***<br /><br />Hash Cash: $10 includes variety of beer at end (craft beer, light beer, cider, hard seltzer, wine, water, soda, gatorade) Grilling burgers and dogs, all a bunch of sides to go with them. $5 non-alcohol price.<br /><br />Trail and on-in are dog friendly.  Host requests you clean up after your dog.  Gates to the yard will remain open, so please keep an eye on your pup.<br /><br />On~On<br />	6/29/20 9:29 (Three Strokes) 1.28
5	KayakH3	kayakh3.png	Moore Park Kayak Trail		Mr. E Hare	10:00 AM	 Cedar Creek / Moore Park<br /> 1900 E 8th St, Dallas, TX 75203	https://goo.gl/maps/z3soy8NfCdkqXvbJ6	BYOB	YES		9:07 PM	Sunday, July 5, 2020	 Looking for an amazing,Weekend adventure that’s still close to home? Join us for paddling on the Trinity River paddle trail.  Paddle a different tributary of the Trinity.<br /> <br /> Start: Cedar Creek / Moore Park<br /> 1900 E 8th St, Dallas, TX 75203<br /> <br /> Put-in:  32.748475, -96.794642<br /> <br /> Take-out:  32.706298, -96.737895<br />  <br />  We will paddle the main Branch of the Trinity River from Moore Park (former home of the Dallas Wave) through the Great Trinity Forest (The largest urban forest in the country) to the Loop 12 boat ramp.  We will eat our sack lunch on the river, or at the take-out.  This section of the river has small riffles and rapids, but is still beginner friendly. We will be paddling through both the man-made channel and the natural original river channel.<br />  <br />  We will meet at Moore Park at 10:00 AM to drop boats, then take all vehicles to the take out at Loop 12 boat ramp. We will bring the drivers back to the put in and launch.<br />  <br />  You must bring sack lunch, drinking water, hat, sunglasses, sunscreen, shoes that can get wet (no flip-flops). Optional items: Bug wipes, camera, snacks to share, change of clothes.<br />  <br />  Most likely sightings: Beaver, Egret, Great Blue Heron, Turtles, Red Tail Hawk. The Great Trinity Forest.<br />  <br />  ***Basic Kayak Safety Rules That All Boaters Should Follow***<br />  As with all recreational activities, there is always the possibility of injury or death. Always use common sense and follow safety rules at all times.<br />  <br />  Be aware of weather conditions and water temperature. Prepare for changes in weather and the possibility of a capsize. In warm weather, <br />  Beware of off-shore winds that make it difficult to return to shore.<br />  Always follow the boating rules of the area you're in.<br />  <br />  Brush up on self-rescue first in calm, warm, shallow water, and again in more extreme conditions.<br />  <br />  Most importantly, WEAR YOUR PERSONAL FLOATATION DEVICE. Coast Guard regulations require that all kayaks have a lifejacket on board. Wearing your lifejacket will help keep your head above water and add insulation to your body, keeping you warmer in cold water. There are great PFDs designed specifically for paddlers. Buy one that fits well, and always wear it while you paddle.<br />  <br />  Stay hydrated. Always bring plenty of water and food.<br />  <br />  HARES: When paddling in a new area, check with the locals regarding currents, shoreline conditions and weather patterns. Plan an "escape" route - an alternative place to get off the water should environmental conditions dictate it. <br />  <br />  It is important to check conditions such as weather and tides before going out in your kayak. Whether you are going on a multi-day excursion or just paddling for an afternoon, being aware of current conditions can help you plan a more safe and efficient trip. An excellent way to monitor sea conditions is to use the National Marine Forecast located at www.weather.gov/om/marine/home.htm<br />  <br />  On~On!	7/1/20 14:40 (Ben Dover R My Panties Showin') 1.28
5	YakH3	YAKH3-icon2-01.png	Hare of the Dog		Bedside Spectator<br />Foreplay	11:30 AM	River Bottoms Pub<br />7920 Randol Mill Road<br />Fort Worth, TX 76120	https://www.google.com/maps/place/River+Bottoms+Pub/@32.7796812,-97.1842031,17z/data=!4m5!3m4!1s0x0:0x28d7b6061f2da6a7!8m2!3d32.7796769!4d-97.1820089	BYOB	Water TURDs		9:07 PM	Sunday, July 5, 2020	Didn't get to party like was 1776? Missed some fireworks did ya! Well no  worries. The YakH3 has you covered. We'll be meeting at the take-out spot (River Bottoms Pub), then carpool our Paul Revere-ing asses and yaks the start. <br /><br />Our put-in will be Gateway Disc Golf Park (4323 E. 1st St, Ft Worth, Texas)<br /><br />This will be leisurely paddle that should only be a couple hours. So bring your left over fireworks, beers and BBQ and join us. On after???<br /> <br />What to Bring:  Kayak, SUP, or canoe, Sunscreen, PFD and whistle. BOOZE!!!<br /><br />***Basic Kayak Safety Rules That All Yakkers Should Follow***<br />As with all recreational activities, there is always the possibility of injury or fatality. Always use common sense and follow safety rules at all times.<br /><br />Be aware of swift water currents, water levels, weather conditions and water temperature. Prepare for changes in weather and the possibility of a capsize. In cold water, bring a change of clothes if you get wet. In warm weather, a long sleeve YakH3 shirt can provide sun protection.<br /><br />Beware of off-shore winds that make it difficult to return to shore (especially if you are on a SUP). Always watch for boaters in lakes and creeks nearby lakes. They sneak up on us fast!<br /><br />Brush up on self-rescue first in calm, warm, shallow water, and again in more extreme conditions. Yak hosts several safety events along with other local kayak groups. Please ask an admin if you have questions or concerns.<br /><br />Most importantly, WEAR YOUR PERSONAL FLOATATION DEVICE. Coast Guard regulations require that all kayaks have a lifejacket on board. Wearing your personal floatation device (PFD) will help keep your head above water and add insulation to your body, keeping you warmer in cold water. There are great PFDs designed specifically for paddlers. Buy one that fits well, and always wear it while you paddle. Bringing a whistle is also required. If paddling at night, bring bright lights to attach to your boat or a headlamp so others can see you (party lights are hash-acceptable).<br /><br />Stay hydrated. Always bring plenty of water and food...and beer!<br /><br />HARES: When paddling in a new area, check with the locals regarding currents and shoreline conditions. Plan an "escape" route - an alternative place to get off the water should environmental conditions dictate it. Please check the weather to advise folks what to bring and check the water levels (cfs) at: https://waterdata.usgs.gov/nwis/rt OR riverflows.net (app)<br /><br />Paddle On~On!	7/3/20 8:40 (Three Strokes) 1.28
6	NODUH Hash	NoDHHH2.png	ON HOLD	264		7:00 PM			$7.00			9:07 PM	Monday, July 6, 2020		7/6/20 12:20 (Martha) 1.28
7	Dallas Urban Mountain Bike Hash	DUMB.png				7:00 PM			Pay-as-you-go			9:07 PM	Tuesday, July 7, 2020		12/24/19 13:36 (Three Strokes) 1.28
11	Fort Worth Hash	ftworth.png	2 Mexicans and A Missing White Girl	910	Whitney Muthafuckin Houston, Just Allison, Wrong Dong Thong	3:00 PM	Euless Yacht Club<br />200 Dickey Drive<br />Euless, TX 76039	https://goo.gl/maps/Z5RLjpuYDYrVw7216	$7.00 & BYOB prelube beer	YES		9:06 PM	Saturday, July 11, 2020	2 Mexicans and A Missing White Girl Trail<br /><br />Time: 3:00p-Gather-3:30p pakaway<br /><br />Wankers, wankers, wankers cum join us for Just Allison's Virgin Lay Trail. There will be an awesome trail with great scenery in the heart of Metroplex a great trail for nature lovers. Beer & shots for all of you fuckin fucks.<br />We will be practicing some social distancing so bring your mask.<br /><br />Bring mask, vessels, virgins, chairs you know all your usual hash gear.<br /><br />On-On WMFH!<br />See you there putas!!!	7/8/20 18:28 (Ben Dover R My Panties Showin') 1.28
12	Flour Mound H3	Flour Mound H3-01.png		6	Ole Yell Her<br />Roller Girl	12:00 PM	Flower Mound High School<br />3411 Peters Colony Road<br />Flower Mound, TX 75022	https://www.google.com/maps/place/Flower+Mound+High+School/@33.03313,-97.0848807,17z/data=!3m1!4b1!4m5!3m4!1s0x864c2d3784e6a70b:0x14bde1448ebf5615!8m2!3d33.03313!4d-97.082692	BYOB	Yes		9:05 PM	Sunday, July 12, 2020	Another new month means another new trail! Due to the continued status of COVID in the general area, FMH3 will be having another virtual trail so that we have all the fun of a trail with all the comfort of being alone!<br /> <br />Where: Start will be in the 9th grade parking lot of Flower Mound HS off of Old Settlers Rd.<br /> <br />Hares: Ole Yell Her and Roller Girl<br /> <br />There will be miles, there will be places to drink beer probably.<br /> <br />Trail will be A - A' with the finish very very close to start. Hares will have trail laid by noon. Come out whenever you please to run trail. Take some pictures at start, end and in between and post after so we know you at least tried!<br /> <br />No hash cash once again, just BYOB to enjoy.	7/6/20 17:36 (Three Strokes) 1.28
15	Dallas Urban Hash	DUH.png	4 Beers, 4 Miles Challenge	558	How Big is Your Mouth<br />Mytery co-hare	6:30 PM	<br />Casa Alfaro<br />2110 S Tyler Street<br />Dallas, TX 75224<br />(Just .5mi from the DART RED Line - Tyler/Vernon Station)	https://www.google.com/maps/place/2110+S+Tyler+St,+Dallas,+TX+75224/@32.724801,-96.8398639,17z/data=!3m1!4b1!4m5!3m4!1s0x864e9a1d20c1a705:0x7c807bf63d226d3d!8m2!3d32.724801!4d-96.8376752	$3.00	Yes		9:04 PM	Wednesday, July 15, 2020	4 Beers - 4 Miles Challenge is an out and back course that is timed. Please bring your 6-pack of beverage (no limit on what said beverage can be, beer, white claw, wine, mocktail, water) They will be held on ice at the start. You must complete all four miles and all four beverages to be considered for the awards. Does not matter what order you complete, ex. run a mile drink a beer every mile completed or run four miles then drink four beers.<br /><br />ON-After Groovy Kickback. Backyard Bonfire and indoor psychedelic dance party. Bring a bundle of firewood if you have it, a bottle for shots, and your grooviest gear. Crash Space and Wi-fi available if you need to clock in the next morning.<br /><br />Bring: 6-pack of your bevies of choice, virgins, hashcash, virgins, firewood, bottle for shots, groovy outfit, water, virgins<br /><br />Hash cash: $3<br />TURDs (Dogs): Yes, on trail and On-In.	7/13/20 22:53 (Three Strokes) 1.28
