DAY	KENNEL	TYPE	TITLE	RUN	HARES	TIME	START	MAP	HASHCASH	TURDS	TWEET	TWILIGHT	DATE	DESC	UPDATE
1	FU H3 Hash	fu	Waggoner Park		STFU Special Fred	7:00 PM CDT		http://www.fuh3.com/?ai1ec_event=open-fuh3-97-may-1st-open&instance_id=2697	$7.00			8:35 PM CDT	Thursday, May 1, 2014		Mon, May 5, 2014 at 2:54 PM
2	Happy Hour	hh	Texas Scottish<br />Festival		EeeyWhore	5:00 PM CDT	<br />Maverick Stadium<br />1307 W Mitchell St<br />Arlington, TX 76013	https://www.google.com/maps/place/Maverick+Stadium/@32.729029,-97.126523,17z/data=!3m1!4b1!4m2!3m1!1s0x864e7d1ab8510ab3:0x5e6d15b68bc382e1		Dogs are allowed only if they are a recognized Scottish breed		8:36 PM CDT	Friday, May 2, 2014	Continuing hash tradition, lets meet Friday night at the "largest pub tent in North America". Good beer, good scotch whiskey, good music, Highland games - and much more.  <br />May 2, Friday night, open 5:00-12:00. Dogs are allowed only if they are a recognized Scottish breed. <br /><br /><a href="http://www.texasscottishfestival.com/">texasscottishfestival.com</a><br /><br />Groupon is $12 admission for 2 or $20 for 4 people. <br /><a href="http://touch.groupon.com/deals/texas-scottish-festival-highland-games-2">Groupon</a><br /><br />Maybe FUH3 will have a trail, or at least an after party??<br /><hr><br />I may also get access to FREE tickets depending on if I get them at work in time =)..will exchange a free ticket for a beer<br /> <br />CPS, can you put me down for hosting HH on May 2nd for the Scottish Festival in Arlington?<br /> <br />Showtime...will you be cumming?<br /> <br /> <br />EeeyWhore<br />Ms. TXIH 2014<br />	Thu, Apr 10, 2014 at 12:30 PM
3	Dallas Hash	dh	Cinco de Mayo<br />Hash	903	Just Marjorie<br />Just Leo<br />Wrong Dong Thong	3:00 PM CDT	Centerport Trinity River Express Station<br />14470 Statler Blvd., Fort Worth 76155<br />(southeast of Trinity Blvd. and Hwy. 360)	https://www.google.com/maps/place/Centreport+Station/@32.816982,-97.053509,17z/data=!3m1!4b1!4m2!3m1!1s0x864e80e11350608d:0x88179c83c20b9e6e	$7.00	Friendly		8:37 PM CDT	Saturday, May 3, 2014	Tequila, Tecate, and Tacos!<br /> <br />Start your cinco de mayo early as Just Marjorie and Just Leo lay their virgin hash.  These young hashers came by way of Tallahassee (bless their hearts) and were introduced to the hash by none other than EeeyWhore.  And who better to misguide them on their virgin hash than Wrong Dong Thong.<br /> <br />Just Marjorie graduated from FSU and is pursuing her PhD in Experimental Psychology @ TCU. I can't believe she has any brains cells after FSU. <br /> <br />Just Leo is used to swimming in rivers as rumor has it he swam from Cuba.. or was it he met someone who swam from Cuba?  Prove a point, he was the only one who swam the Trinity during the Easter hash when flour was clearly laid on the bridge.  Mexicans and Cubans swim alike.<br /> <br />Another tidbit of information about our virgins; they met in Florida while performing at a DCI event.  What is DCI you say? ... Drum Corps International, aka hash drum nerds.  <br />Anyway, You will get wet, you will do tequila shots, and you will eat tacos!<br /> <br />Bring your sombrero, dry bag, shiggy socks, and virgins to the epic 2014 Cinco de Mayo Hash.  <br /> <br />Date: 3 de mayo<br />Location: Centreport TRE Station<br />                  32.817176, -97.053509<br />Hares: Just Marjorie, Just Leo, Wrong Dong Thong<br />Show: 3:00p<br />Pack away: 3:30 ish<br />Hash cash: $7<br />Trail and On-In Turd FriendlyOn Cinco De MayoWrong Dong Thong<br />	Wed, Apr 30, 2014 at 12:18 PM
5	NODUH Hash	nd	It's Cinco de Drinko!	103	Gay Boyfriend	7:00 PM CDT	<br />Loos Swimming Pool<br />3815 Spring Valley Rd<br />Addison, TX 75001	https://www.google.com/maps/place/Loos+Swimming+Pool/@32.9427739,-96.8512319,128m/data=!3m1!1e3!4m7!1m4!3m3!1s0x864c26d95fd8809b:0x1791e4a966ad721b!2s3815+Spring+Valley+Rd!3b1!3m1!1s0x0:0x9c07b7d754be4976	$7.00			8:38 PM CDT	Monday, May 5, 2014	<br />It's Cinco de Drinko!<br /><br />Battle of Pueblo, America's Mexican Independence Day, Tequila Day, Cinco de Stinko, Cinco de Quatro? Who cares, lets get loco.  <br /><br />In the spirit of the holiday its going to be lazy. Short trail, not confusing, multiple tequila shot checks.<br /><br />There will also be cervezas y sangria.<br /><br />Bring: Virigins, Vessels, Flashlight, Sombreros, Bad Accents <br /><br />-Gay Boyfriend	Sun, May 4, 2014 at 5:10 PM
6	Tasty Tuesdays	tt	Cinco de Mayo<br />Hangover		More Fingers<br />Bathroom Sex<br />TitCock	7:00 PM CDT	<br />Guadalajara Mariscos Mexican Food and Bar<br />1004 E Division St<br />Arlington, TX 76011	https://www.google.com/maps/place/Guadalajara+Mariscos+Mexican+Food+and+Bar/@32.739394,-97.094901,17z/data=!3m1!4b1!4m2!3m1!1s0x864e7d7e5b2cd7ab:0xac4f3f7ea2d13d8d				8:39 PM CDT	Tuesday, May 6, 2014	Tit Cock Tit Cock, Bathroom Sex and More Fingers Less host Cinco de Mayo Hangover Tasty Tuesday!<br />When: Tuesday May 6<br />Where: Guadalajara: 1004 E. Division St. Arlington, Tx.<br /><br />What?! Cinco de Mayo hangover recovery with 89 CENT margaritas, wells, and drafts!! Come get your drink On-On! <br />	Fri, May 2, 2014 at 12:03 PM
7	Dallas Urban Hash	du	The Pour House<br />Oak Cliff	248	How Big<br />Is Your Mouth	7:00 PM CDT	<br />The Pour House<br />1300 W Davis St<br />Dallas, TX 75208		$7.00			8:40 PM CDT	Wednesday, May 7, 2014		Wed, Apr 30, 2014 at 3:37 PM
8	FU H3 Hash	fu			C.U.N.T. & Fag Team	7:00 PM CDT		http://www.fuh3.com/?ai1ec_event=open-fuh3-98-may-8th-open&instance_id=2608	$7.00			8:41 PM CDT	Thursday, May 8, 2014		Mon, May 5, 2014 at 2:56 PM
9	Happy Hour	hh	Buffalo Wild Wings<br />Grand Prairie		Pipe Sloth<br />Deodorcunt	6:00 PM CDT	<br />Buffalo Wild Wings<br />2315 I20 West<br />Grand Prairie, TX 75052<br />972-641-9464	https://www.google.com/maps/place/Buffalo+Wild+Wings+Grill+%26+Bar/@32.675147,-97.039192,17z/data=!3m1!4b1!4m2!3m1!1s0x864e88f277b37be9:0x9a6862ba06a1307f?hl=en				8:42 PM CDT	Friday, May 9, 2014	Hares:  Deodorcunt & Pipe Sloth<br /><br />Start Address:  Buffalo Wild Wings<br />                       2315 I-20 West<br />                       Grand Prairie, TX 75052<br />                       972-641-9464<br /><br />Description:  Cum join us as we welcome some of the Huzzah Hashers to DFW & kick off an amazing "You Know You Love Hashing More Than You Love Your Mother" weekend of FUN!!!  Just start drinking with out us if we're not there by 6:00 pm...we are driving in from the far, far north (according to Super Homo at least) which can take a bit of doing in rush hour.  There are drink & appetizer specials from 2 - 7pm and 9 -11pm.	Fri, May 9, 2014 at 6:54 PM
10	Fort Worth Hash	fw	Motherfucker's<br />Day!!!	746	SuperHomo<br />SOAP	3:00 PM CDT	<br />Mallard Cove Park<br />325 Trinity Ct,<br />Fort Worth, TX 76120	https://www.google.com/maps/place/Mallard+Cove+Park/@32.788261,-97.201254,17z/data=!3m1!4b1!4m2!3m1!1s0x864e795df131979f:0x6d391fe6ecca3e19?hl=en	$7.00 &mdash; BYOB prelube &mdash; Virgins pay nothing!			8:42 PM CDT	Saturday, May 10, 2014	Motherfucker's Day!!!<br /><br />Since Sunday is Mother's Day we say the day before we celebrate all those guys and girls who give mama what she really wants. So us hares declare it Motherfucker's Day!<br /><br />So in honor of this we will be giving all of you that are fucking mothers or have fucked mothers what she deserved: something long, hard, wet, and probably painful.<br /><br />Since this is the first of the summer trails where it will probably be hot as sex with a MILF, we want to make you scream motherfucker at us hares. In other words bring your shiggy gear and dry clothes. Virgins will have fun on this trail as well, so bring them because if any motherfucker gets laid then it's a good Motherfucker's Day.<br /><br />Date: May 10th<br />Location: Mallard Cove Park<br />325 Trinity Ct, Fort Worth, TX 76120<br />32.785844, -97.201385<br />Hares: SuperHomo and SOAP<br />Gather: 3:00 PM<br />Pack Away: 3:30 PM (or whenever the beer arrives)<br />Hash Cash: $7<br />TURD Friendly: Big Dogs Yes, Small dogs will have a VERY rough time on this trail so you should probably leave them at home.<br /><br />On-Motherfuckers,<br />SuperHomo	Fri, May 9, 2014 at 10:45 AM
11	Sunday Brunch	sb	Mother’s Day<br />at MBFJ’s House		My Boyfriend Joe	11:00 AM CDT	<br />My Boyfriend Joe’s House<br />1106 N. Maryland St<br />Carrollton, 75006	https://www.google.com/maps/place/1106+N+Maryland+Ave/@32.955877,-96.899716,17z/data=!3m1!4b1!4m2!3m1!1s0x864c263ffe66c11f:0x6423cf42234b42ac	$ 7.00 and a side-dish			8:43 PM CDT	Sunday, May 11, 2014	Mother's Day Brunch is hosted by My Boyfriend Joe.<br />11:00 Sunday, May 11th<br /><br />1106 N. Maryland St<br />Carrollton, 75006<br /><br />$7.00 hash cash will provide you with steak, eggs and mimosa's<br />Please bring a dish to share<br /><br />All cooking and clean up will provide by the hares and they are to make <br />the harriettes feel like princesses!<br /><br />Please direct all questions to My boyfriend Joe!	Sat, May 3, 2014 at 2:44 PM
