DAY	KENNEL	TYPE	TITLE	RUN	HARES	TIME	START	MAP	HASHCASH	TURDS	TWEET	TWILIGHT	DATE	DESC	UPDATE
1	Beer Mile	beerMile.png	Beer Mile		 Katman Goo	7:00 PM CDT	<br />Euless Junior High School Track<br />306 Himes Dr, <br />Euless, TX 76039	https://www.google.com/maps/place/Euless+Junior+High+School/@32.83914,-97.087726,17z/data=!3m1!4b1!4m2!3m1!1s0x864e807eaf46017d:0x12ece647210e81f7	BYO4-pack (Unopened!)			9:08 PM CDT	Tuesday, July 1, 2014	<br />EOP Day 9 – Beer Mile – July  1st, 2014 @ 7:00 pm<br /><br />Time: 6:30 PM CST gather – 7:00 PM CST pack away<br /><br />Host: Katman Goo<br /><br />Start address: Euless Junior High School Track 306 Himes Dr, Euless, TX 76039<br /><br />Hash cash: BYO4-pack (Unopened!)<br /><br />TURDs: Yes.<br /><br />Description:  Rain or Shine! Come strap on your running shoes and become a racist, race for the trophy that is. You know the rules and if you don’t, you’ll learn once you arrive. Bring at least four unopened cans (no glass please) of your favorite down down for the Beer Mile.<br /><br />Round and round we’ll go for 4 laps and determine who’s got the right combination of skills. Trophy for the wieners in the nuts-boobless and boobs-nutless categories! On-on!<br /><br />Afterwards we’ll head to a local watering hole for On-After.<br /><br />Bring: Game face, Unopened 4 pack of water, Shasta, milk, or whatever your favorite beverage is (no glass)<br /><br />	Tue, Jul 1, 2014 at 11:38 AM (Clodhopper)
2	Dallas Urban Hash	du	AMERICA TRAIL!	256	Condom Mint<br />Texas Hold ‘Em<br />Titties	7:00 PM CDT	<br />The Corner Bar & Grill<br />4830 McKinney Ave<br />Dallas, TX 75205	http://bit.ly/DUH07022014	$7.00			9:08 PM CDT	Wednesday, July 2, 2014	<br />AMERICA TRAIL!<br />Date: July 2nd<br />Gather: 6:30pm, Trail: 7pm<br />Your hares:<br />Condom Mint<br />Texas Hold ‘Em Titties<br />Hash cash: $7<br />Start location:<br />The Corner Bar & Grill<br />4830 McKinney Ave<br />Dallas, TX 75205<br />Map: http://bit.ly/DUH07022014<br />On July 4th, the United States of America will be celebrating their Independence Day! Therefore on July 2nd, we will be celebrating by sporting our red, white, and blue and running through the streets of Dallas drinking what else, than the delicious Pabst Blue Ribbon. Why? BECAUSE AMERICA.<br />Bring:<br />Clothing of the national color type<br />Stars and stripes<br />Hot dogs and freedom fries<br />US flags<br />A blatant disregard for any other country<br />Your superiority complex<br />Bald eagles<br />Stephen Colbert<br />Your best George Bush Jr. accent<br />Virgins<br />Tits (‘Murka)<br />Trail is TURD Friendly, but ON-IN is not TURD Friendly<br /><br /><br />-- <br />CM<br />469-249-0079<br />	Tue, Jul 1, 2014 at 4:46 PM (cwinborn)
3	FU H3 Hash	fu	Son of a Peach<br />Birthday Hash		S.O.A.P.<br />EeeyWhore	5:00 PM CDT prelube, 7:00PM start	<br />200 East South Street<br />Arlington,Texas 76010 <br />Vacant Parking Lot where the Halloween Hash was hijacked<br />(corner of South & Mesquite Street)	http://www.fuh3.com/?ai1ec_event=july-3rd-e-o-p-day-12&instance_id=2748	$5.00, BYO Meat			9:08 PM CDT	Thursday, July 3, 2014	Time: 5:00 pm prelube<br />7:00pm Trail starts<br />9:45 Fireworks Show<br /> <br />Where: 200 East South Street, Arlington,Texas 76010 <br />Vacant Parking Lot where the Halloween Hash was hijacked<br />(corner of South & Mesquite Street)<br /> <br />Hares: SOAP and EeeyWhore<br /> <br />Hash Cash:  ONLY $5<br />BYO Meat, a grill will be available to cook the food you bring<br /> <br />Description: Cum celebrate SOAP turning another year older and the 11th day of EOP<br /> <br />FUH3 has secured a private parking lot with permission to have a tailgate party.<br />Prelube will start around 5pm, trail will begin around 7pm, Fireworks at 9:45pm<br />Food is NOT being provided, however there will be a grill to cook your meat, as well as festival food nearby.<br /> <br />Crash space is definetly available with several hashers in Arlington...so there are no excuses not to CUM!<br /> <br />Wear your best Red, White and Blue!!!<br />	Fri, Jun 27, 2014 at 2:06 PM (cwinborn)
4	Happy Hour	samcrawl.png	4th of July Pub Crawl		FWH3	6:00 PM CDT	<br />Golden Nugget<br />2602 W Division St.<br />Arlington, TX 76012	https://www.google.com/maps/place/Gold+Nugget/@32.735817,-97.150849,17z/data=!3m1!4b1!4m2!3m1!1s0x864e7cf69522e2ff:0xc1b8cdb95e2109ea				9:07 PM CDT	Friday, July 4, 2014	<br />Time : 6:00 pm - ?<br /><br />Hares : FWH3 Admin<br /> <br />Where : Golden Nugget in Arlington Texas<br />2602 W Division St, Arlington, TX 76012<br /> <br />Hash Cash: Pay as you Go...(some bars are Cash Only)<br /> <br />Description:<br />Cum help close out day 12 of EOP2014 with a Down and Dirty West Division Street Pubcrawl.<br />We will tour some really divey places and end it with a Bang!<br />Crash Space available upon request...or on the fly	Mon, Jun 30, 2014 at 1:24 PM (Clodhopper)
5	Fort Worth Hash	fw	OldLympDicks Hash	750	W Mf. H, WTFIC,<br />BDB, SOAP, et al 	4:00 PM CDT gather — 4:30 pm pack away 	<br />Park your car on Thaxton Parkway<br />5264 Thaxton Parkway<br />North Richland Hills,TX 76180		$7.00 &mdash; BYOB prelube &mdash; Virgins pay nothing!			9:07 PM CDT	Saturday, July 5, 2014	EOP Day 13 July 5th OldLympDicks Hash<br /><br />Time: 4:00 pm gather, 4:30 pm pack away<br /> <br />Where : Park your car on Thaxton Parkway<br />5264 Thaxton Parkway<br />North Richland Hills,TX 76180<br /><br />Hares: Whitney mf Houston, Who the Fuck is Chip, Blonde Dyke Bar, SOAP, and many many more<br /> <br />Trail is Turd Friendly, but not so sure about ON IN<br /> <br />Description: What happens after you stroke the Penis after multiple EOP Days?  It becomes all  Limp and tired...so we've got to get it back up with an Epic EOP Day 13 Hash.<br /> <br />This hash will be a combination of most of the EOP events from the past few days. <br /> Bring a Red Dress or not for a mini Red Dress, Mad Dog, Spam, Beer Mile.<br />There will be a SPIT hash so bring your swimsuit.<br />Rumor has it there will be a Short Trail and maybe a Condomint Death March.<br />	Fri, Jul 4, 2014 at 3:36 PM (cwinborn)
7	Happy Birthday Happy Hour	happyBirthday.png	Not Turning Fifty		Skippy	7:00 PM CDT	<br />Truck Yard<br />5624 Sears St<br />Dallas, TX 75206	https://www.google.com/maps/place/Truck+Yard/@32.81442,-96.771227,17z/data=!3m1!4b1!4m2!3m1!1s0x864e9f362b61dd31:0xf201f1427d17fe78				9:07 PM CDT	Monday, July 7, 2014	Skippy is not turning 50!!  Bday HH at The Truckyard ( Greenville ave ) on Monday July 7th at 7 pm.<br /><br />  Look for us in the tree house! May have a mini pub crawl!!! …Hope to see many smiling faces!!	Tue, Jun 17, 2014 at 10:17 PM (cwinborn)
9	Dallas Urban Hash	du	The tale of two turkeys.	257	12 Below<br />Blonde Dyke Bar	7:00 PM CDT	The back parking lot of the Target<br />6289 Southwestern Blvd<br />Dallas Tx 75214<br /><br />Between Skillman and Abrams on Southwestern - South of NW Hwy	https://www.google.com/maps/place/6289+Southwestern+Blvd/@32.855975,-96.7532862,17z/data=!3m1!4b1!4m2!3m1!1s0x864e9f81168eb0ed:0xa260823b901ce6d	$7.00	 OK on Trial, Should be OK at On In/After		9:06 PM CDT	Wednesday, July 9, 2014	The tale of two turkeys.<br /> <br />Yes folks, this trail will have two, count 'em, two turkey eagle splits. The Total trail length for the turkeys is about 3.5 miles or so. The total trail length for the eagles is about 6.5 miles. Mix and match em if you want! There will be very light shiggy but be warned,  poison ivy, however sparse, was spotted along the trail. If you're like me, being within 10 ft of the stuff is enough to get a rash, so technu wouldn't be a bad precaution. Bring your climbing shoes too. You might need them.<br /><br />Bring: BUG SPRAY- seriously and your usual hash stuff<br /><br />ON IN/ON AFTER: there is food but it is ALL CASH!!! So if you want to buy food or drink bring cash because they do not accept cards.. and from what i saw there are no ATM's in sight.<br /><br /> If the cops are currently looking for you, i would dress in incognito because we had the pleasure of being stopped by four cops while on trail.. thanks to rich people who reported two ppl laying white powder in their neighborhood<br />There will be water at the beer check along with lite and NON lite beer. 	Tue, Jul 8, 2014 at 9:58 PM (Double)
10	FU H3 Hash!	fu	Nerd Hash	105	Frowny McFuckface<br />& Incredible <br />Edible Spread	7:00 PM CDT	1700 Colonial Parkway, Fort Worth, TX 76110	http://www.fuh3.com/?ai1ec_event=open-fuh3-thursday-is-a-drinking-day-july-10th-open&instance_id=2739				9:06 PM CDT	Thursday, July 10, 2014		Tue, Jul 8, 2014 at 7:23 PM (fredleason)
11	Happy Hour	hh	Taste of Dallas		Dirty Deeds Done Dirt Cheap	5:30 PM CDT	Craft and Growler<br />3601 Parry Ave<br />Dallas, TX 75219	https://www.google.com/maps/preview?client=safari&oe=UTF-8&ie=UTF-8&fb=1&gl=us&cid=2330708236593191605&q=Craft+and+Growler&ei=JRi_U5GGOqWZ8gG0wIDYCQ&ved=0CJQBEPwSMAw	One day general admission: $8.00 (at Walgreens) $12.00 (at the gate). Pay as you go.			9:06 PM CDT	Friday, July 11, 2014	Dirty Deeds Done Dirt Cheap decided to host the Happy Hour tomorrow. Meet at Craft and Growler at 5:30 pm for all those that want to go to Taste of Dallas. It starts at 6:30 - 9:30 pm.<br /><br />More info at:<br />http://www.tasteofdallas.org/tickets.html<br /><br />Contact Dirty Deeds Done Dirt Cheap at (757) 582-1185	Thu, Jul 10, 2014 at 6:09 PM (John)
12	Dallas Hash	dh	Aubrey, Texas	908	Tit Cock Tit Cock<br />More Fingers Less Palm<br />Bathroom Sex	4:00 PM CDT	Joey's Ristorante Italiano Bar<br />26735 U.S. 380<br />Aubrey, TX 76227	https://www.google.com/maps/place/26735+U.S.+Highway+380/@33.2215532,-96.935199,17z/data=!3m1!4b1!4m2!3m1!1s0x864c37933d989053:0xb67825ebeaabfe21	$7.00	Trail is Turd Friendly, but ON IN is not. Please do not leave your dogs in the car.		9:05 PM CDT	Saturday, July 12, 2014	Ladies and gentlemen, we now have a trail for next Saturday's hash. For this one we're going back to the shiggy. I can't make too many promises but what I can promise is that it will have shiggy, it will be in Denton county, there will be beer, there will be a grill, there will be lesbians, and they will get wet...so bring a clean pair of underwear and your toe shoes.<br /><br />Try to car pool if possible and spread out along the shopping center so we don't take up all the parking for one business. There's also plenty of parking by the tire shop and around back.<br /><br />Bring: Bug spray, sun block, change of socks, shoes, shorts, dry skivvies, and money for prelube, <br /><br />Note: If you can't swim bring your floaties or a red life preserver. We can also do a short flotilla. 	Fri, Jul 11, 2014 at 7:14 PM (John)
