DAY	KENNEL	ICON	TITLE	RUN	HARES	TIME	START	MAP	HASHCASH	TURDS	TWEET	TWILIGHT	DATE	DESC	UPDATE
1	Dallas Urban Hash	DUH.png	First Day of September!	609	Red Rocket Rider<br />Kricket Fly Free	6:30 PM Gather — 7:00 PM Pack away!	The Royal Pour<br />9909 Garland Road<br />Dallas, TX 75218	https://www.google.com/maps/place/The+Royal+Pour+Bar+and+Grill/@32.8376531,-96.7000465,17z/data=!3m2!4b1!5s0x864ea10dd9f207f7:0x76101ef91d7e8bee!4m5!3m4!1s0x864ea10dd9e84249:0xf119a1252b858b28!8m2!3d32.8376531!4d-96.6978578	$3.00	Yes (on patio)		8:17 PM	Wednesday, September 1, 2021	<br />Cum on out and play with the DUHHH!<br />Trail by the lovely Red Rocket Rider and Krickets Fly Free.<br />Start at The Royal Pour east of White Rock Lake.<br />Hash cash is $3 for beers on trail. <br />Pay for your own beers at the on-in.<br /><br />PARKING: There is parking in the REAR! Behind the laundromat. Look for signs where to park and where not to park...<br /><br />On~On!	8/30/21 17:55 (Three Strokes) 1.28
2	KayakH3	kayakh3.png	Cool Thrusday Concert		Just Jackie	6:30 PM			BYOB	yes		8:16 PM	Thursday, September 2, 2021	<br />Trail: A to A<br />We meet at the park at 6:30pm. leave by 7pm.<br />vest, paddle, boat, whistle, headlamps etc.<br />description: We paddle upstream to 635 and back.<br />BYOB, snacks, and/or mobile dinner.	7/15/21 20:00 (Ben Dover R My Panties Showin') 1.28
3	YakH3 Happy Hour	YAKH3-HH.png	Happy Hour<br />Viridian Lake			6:00 PM	Viridian Lake Sailing Center<br />1200 Viridian Park Lane<br />Arlington, TX 76005	https://www.google.com/maps/place/Viridian+Sailing+Center/@32.7916817,-97.0918486,15.57z/data=!4m5!3m4!1s0x864e81c01d51d9f7:0x16842f54cd65f92c!8m2!3d32.7935316!4d-97.089936	PAYG	Water TURDs		8:14 PM	Friday, September 3, 2021	<br />What's going on at Viridian Lake these days??? Looks like a lot of new activity and places to explore in this residential community. We can drop in beside the Viridian Lake Sailing Center. Wear yor captains hat and sailing attire if you'd like. The lake is open to the public for paddling, fishing, hiking and playing.<br /><br />Meet at 6pm and paddle around the lake. We'll beer check at that little island and play in the water at the "beach". Then on-after at the Big Apple Cafe, a local favorite :)<br /><br />Bank wankers welcome. You don't need a kayak to play. You can bring floaties and waddle in the "beachy" area. It IS open to the public free of cost :)<br /><br />What to Bring: Kayak, SUP, or floatie. PFD (if paddling). Plenty of booze. Sunscreen, bugspray, beach towel, booze, tunes, dry clothes for on-after, booze, money for on-after, and friends!<br /><br />The beach is located at 1210 Viridian Park Lane<br />Arlington, TX 76005<br /><br />On-After at Big Apple:<br />14200 Trinity Blvd. #400<br />Fort Worth, TX 76155<br /><br />Paddle On~On!	8/18/21 0:02 (Three Strokes) 1.28
4	Spit Hash	spit.png	BOAT PARTY	6969	YLUMP	11:30am	Silver Lake Marina at Lake Grapevine. 2500 Fairway Drive, Grapevine, 76051	https://goo.gl/maps/oizq36q12M91oj84A	75.00	No		8:13 PM	Saturday, September 4, 2021	<br />BOAT PARTY  -   BOAT PARTY  -  BOAT PARTY<br />Show time 11:30am<br />Boat departs promptly at noon. Do not be late!<br />Boat returns at 4pm.<br />Beer & food/snacks provided. <br />Parking - park in the lot beside the attendant booth (they will direct you). <br /><br />What to bring - vessels, sunscreen, floaties, dignity (I can take it or leave it), hash running shoes. There is a park at the top of the ramp that is a prime spot for  drunken kickball/slosh ball after we get off the boat (if we need to float a keg or have beers to finish) provided most of us are vertical. <br /><br />See ya there!<br />YLUMP<br />	8/27/21 15:13 (Tanned Peaches) 1.28
4	Fort Worth Hash	ftworth.png	contra hash	937	Soap	2:30 pm	5700 Chapman Rd, Watauga 76148		BYOB	Yes		8:13 PM	Saturday, September 4, 2021	Snack/Pizza at the On-IN Bring chairs. 	9/3/21 13:08 (Tanned Peaches) 1.28
6	Labor Day Yak	YAKH3.png	Monday is a yakking day		Foreplay	11:00 AM	McInnish Sports Complex<br />(Sandy Lake Cricket Practice~Boat Ramp)<br />2340 Sandy Lake Rd<br />Coppell, TX 75019	https://www.google.com/maps/place/Sandy+Lake+Cricket+Practice/@32.965517,-96.9397676,16.35z/data=!4m8!1m2!2m1!1scricket+field+near+McInnish+Park,+East+Sandy+Lake+Road,+Coppell,+TX!3m4!1s0x864c298638a2fce3:0xb92f35041baa98af!8m2!3d32.9672141!4d-96.9422104	BYOB	Water TURDs		8:10 PM	Monday, September 6, 2021	<br /><br />Meet at Cricket Field. Gather 11:00am, boats in the water noon or sooner. Bring your booze, snacks, sunscreen, bug spray and have come have a good time!<br /><br />What to Bring: Beer. Kayak, SUP, or canoe. Sunscreen and bug spray. Beer. PDF and hash whistle. Snacks and possibly food for grilling afterwards. Beer. Money for on-after (optional). Beer and other hydration of your choosing :)<br /><br />Paddle On~On!<br /><br />Bank wankers welcome.<br />	9/5/21 9:33 (Three Strokes) 1.28
7	Dallas Urban Mountain Bike Hash	DUMB.png				7:00 PM			Pay-as-you-go			8:09 PM	Tuesday, September 7, 2021		12/15/20 16:59 (The Hopper) 1.31
8	Dallas Urban Hash	DUH.png	Cockpit	610	Blonde Dyke Bar	6:30 PM Gather — 7:00 PM Pack away!	<br />Target<br />9440 Marsh Ln<br />Dallas, TX 75220	https://goo.gl/maps/b35TMmMtcUk2kHZMA	$3.00	Yes		8:08 PM	Wednesday, September 8, 2021	We will meet in the Target parking lot at Marsh and Northwest Hwy (near The Cockpit).<br /><br />Trail is A to A+.<br /><br />BDB is going to lay a glorious trail with lots trains planes and automobiles surrouding the area. See you soon!<br /><br />PS. IF YOU WANT FOOD FOR ON IN- Target has a Pizza Hut inside or something<br /><br /><br />	9/8/21 13:08 (BDB) 1.28
10	Dallas Hash	dallas.png	BFE Campout		Mr E Hare	3:00 PM			$7.00			8:05 PM	Friday, September 10, 2021		1/5/21 13:11 (Ben Dover R My Panties Showin') 1.28
11	Contra Hash	contra.svg	Too Lazy to BFE campout		Three Strokes<br />Bedside Spectator	2:30 PM	Harry Mayers Park<br />815 E Washington Street<br />Rockwall, TX 75087	https://www.google.com/maps/place/815+E+Washington+St,+Rockwall,+TX+75087/@32.9300871,-96.4484376,17z/data=!3m1!4b1!4m5!3m4!1s0x864c00340b630a61:0x4113308a6ca6fd5a!8m2!3d32.9300871!4d-96.4462436	BYOB	Yes		8:03 PM	Saturday, September 11, 2021	<br />Well...it's almost midnight on the Friday before a weekend hash day...and I may have had a few drinks and mentioned something at the DUHHH that I could lay a realy shitty trail if no one else does. So here you have it ;)<br /><br />SATURDAY CONTRA TRAIL!<br /><br />2:30 meet. On-out at 3pm.<br /><br />START: Harry Myers Park East Pavilion<br />Park at the lot near the disc golf  <br />815 E Washington Street, Rockwall, TX 75087<br /><br />WHAT TO BRING:<br />Whatever booze you wish to drink. More will be provided when we run out. Mojito season is here and lots of mint has been gathered for on-in drinks. Bring money for extra credit beer check (brewery). Bring sunscreen and bug spray. Bring a towel. Swimsuits are optional. Food will be provided at on-in. Crash space available for those that live really far away.<br /><br />I can't tell you how long this trail will be, because we haven't a clue what we're gonna do. The hares will wake up, drink a cup of coffee (or three) and take it from there :)<br /><br />On~On (for those that want a real shitty trail experience)	9/10/21 23:56 (Three Strokes) 1.28
