DAY	KENNEL	TYPE	TITLE	RUN	HARES	TIME	START	MAP	HASHCASH	TURDS	TWEET	TWILIGHT	DATE	DESC	UPDATE
1	Dallas Hash	dh	Day of the Hungover Dead	916	Mystery Hares	3:00 PM CDT	Abandoned Dart Park & Ride at Coit and Churchill<br />12598 Coit Rd<br />Dallas, TX 75251	https://www.google.com/maps/place/12598+Coit+Rd,+Dallas,+TX+75251/@32.9195874,-96.7690882,187m/data=!3m2!1e3!4b1!4m7!1m4!3m3!1s0x864c203fdff3565f:0x2ea6bc128b5ff1ea!2sDallas,+TX+75251!3b1!3m1!1s0x864c203fdb689a87:0xf6ccd8ca38da953c	$7.00	Yes		7:02 PM CDT	Saturday, November 1, 2014	Mystery Hares lay mystery trail.<br /><br />It's a Day of the Hungover Dead trail so wear a zobie or dia de los muertos costume. Get your hungover ass to dallas for an exciting trail that only features one avoidable water crossing.<br /><br />You will get so drunk on this trail that you will feel like you are dead the next day!	Thu, Oct 30, 2014 at 7:08 PM (John)
2	Sunday Brunch	sb	Elbow Room		Red Rocket Rider	11:00 AM CST	<br />Elbow Room<br />3010 Gaston Ave<br />Dallas, TX 75226	https://www.google.com/maps/place/Elbow+Room/@32.788292,-96.783164,1038m/data=!3m1!1e3!4m2!3m1!1s0x0000000000000000:0x329ed22f1d2a7722				6:01 PM CST	Sunday, November 2, 2014	Back by popular demand !!!... Sunday Sunday Sunday brunch will be at the .... Elbow Room!!! <br />They are now open for Brunch<br />11:00 am <br />I heard they have great <br />Benedict Arnold<br />Jesus drinks on Sunday :) and watches football :) <br />	Sat, Nov 1, 2014 at 9:19 PM (Clodhopper)
3	NODUH Hash	nd	To Tough to Die	117	Jousting for Tampons	7:00 PM CST	<br /><strong>BEHIND</strong> Tom Thumb<br />14280 Marsh Ln<br />Addison, TX 75001	https://www.google.com/maps/place/32%C2%B056%2718.9%22N+96%C2%B051%2711.4%22W/@32.9385828,-96.8531667,5106m/data=!3m2!1e3!4b1!4m2!3m1!1s0x0:0x0?hl=en	$7.00	 All is friendly except the On After.		6:00 PM CST	Monday, November 3, 2014	<br />- This trail is light on shiggy, but has pavement, off road trail, and other surprises you will surely enjoy.<br />- It offers a Beer check and a Shot/Assorted Drink check.<br />- There will be a Turkey, Eagle and Super Eagle split. Keep in mind that those that seek the greater challenges will reap the greater rewards.<br /><br />What to bring:<br />- BYOB<br />- FLASHLIGHT (if you don’t want to get lost or experience intense disorientation)<br />- BUG SPRAY (meh…not really that necessary)<br />- EXTRA PAIR OF SHOES/SOCKS if you are not careful enough and get wet<br />- VESSELS to drink your beer without attracting any attention from the public eye or the law.<br />- SEXY VIRGINS<br />- AN ADVENTUROUS SPIRIT AND A THIRST FOR A CHALLENGE (within reason that is…)<br />	Sun, Nov 2, 2014 at 4:48 PM (Clodhopper)
4	Trivia Tuesdays	tr	Malarkey’s Tavern		Blond Dyke Bar	3:00 PM CST	<br /><a href="http://www.malarkeystavern.com/">Malarkey's Tavern</a><br />4460 Trinity Mills Rd<br />Dallas, TX 75287	https://www.google.com/maps/place/Malarkey%27s+Tavern/@32.989746,-96.831213,17z/data=!3m1!4b1!4m2!3m1!1s0x864c23f9148e0fcb:0x3d508e132e71713d				5:59 PM CST	Tuesday, November 4, 2014	Tonight is Trivia Tuesday at Malarkey's off Tollway and Trinity Mills. Starts at 7:30. Cum play with us. Also get there early if you can. Hope to see you tonight.	Sun, Nov 2, 2014 at 4:23 PM (Clodhopper)
5	Dallas Urban Hash	du	Happy Gay Fucks Day... I mean Guy Fawkes Day... 'Merca	274	Daddy Fucking Mom<br />& Just Parker	7:00 PM CST	3180 N Harwood St., Dallas, Texas	http://goo.gl/maps/qPnqY	$7.00	Trail is Turd Friendly, On-In is NOT Turd friendly.		5:58 PM CST	Wednesday, November 5, 2014	The XY chromosome of Gets It for Free has returned from  NYC and elsewhere and has teamed up with long time friend to finally  lay trail.<br /><br />Pack meets - Pre-Lube: 645PM<br />Pack away :7PM<br /><br />Bring: All survival gear needed...plus virgins. Tamale Lady will be  around at the "ON-IN".<br /><br />(The far north end of Harwood St. — see map).  Street parking is available in front of the KERA building on Hardwood.  St. Look up the Corner of Wolf St and N. Harwood St.	Wed, Nov 5, 2014 at 7:09 AM (Double)
6	FU! Thursday is a Drinking Day!	fh	Genghis Grill<br />NorthEast Mall 		 Katman Goo	7:00 PM CST		http://www.fuh3.com/?ai1ec_event=fuh3-thursday-is-a-drinking-day-november-6th-open&instance_id=3068				5:58 PM CST	Thursday, November 6, 2014		Tue, Nov 4, 2014 at 11:54 AM (Clodhopper)
7	Happy Hour	hh	Aquatic Latex<br />Water Balloon Party		Eeeywhore	6:00 PM CST	<br />1411 Bluebonnet Trl<br />Arlington, TX 76013	https://www.google.com/maps/place/1411+Bluebonnet+Trail,+Arlington,+TX+76013/@32.71309,-97.128069,17z/data=!3m1!4b1!4m2!3m1!1s0x864e7d247f7ac537:0x24cd7779b3ebdf5f		NOT DOG FRIENDLY, leave your dogs at home		5:57 PM CST	Friday, November 7, 2014	Time: 6pm til ????<br /> <br />Where : 1411 Bluebonnet Trl, Arlington, Tx 76013<br /> <br />Host :  EeeyWhore<br /> <br />Bring:  BYOB, Water Balloons, Food to Share (there will be a big pot of chili)<br /> <br />Turd Friendly: NOT DOG FRIENDLY, leave your dogs at home<br /> <br />Description:<br /> <br />The Leaders of Lichenstein will cum together to decide on existing team members or there may even be trades for the competing teams of Klopstokia, Fredonia and Picklevania in the most epic hash of the year!! Cum load up your ammo and paint your team's head for the Marine Corp Hash on neutral ground.  There is crash space available, bring blankets, pillows and air matresses.	Thu, Nov 6, 2014 at 11:01 AM (Clodhopper)
8	Fort Worth Hash	fw	Marine Corps<br />Birthday	759	Lichenstein Leaders	1:30 PM CST	374 Trinity Court<br />Fort Worth, TX	https://www.google.com/maps/place/374+Trinity+Ct,+Fort+Worth,+TX+76120/@32.7856633,-97.2011547,17z/data=!4m7!1m4!3m3!1s0x864e79609a23ef53:0x70a8f39009dffc45!2s374+Trinity+Ct,+Fort+Worth,+TX+76120!3b1!3m1!1s0x864e79609a23ef53:0x70a8f39009dffc45	$7.00 &mdash; BYOB prelube &mdash; Virgins pay nothing!	Friendly		5:56 PM CST	Saturday, November 8, 2014	Time: 1:30 pm (means 2:00 ish)<br /><br />Start address: 375 Trinity Court, Fort Worth, Tx 76120<br /><br />Hares: Lichenstein Leaders<br /><br />Hash cash: $7.00 (Virgins are FREE)<br /><br />TURDs: Trail is Turd Friendly<br /><br />Description: Once again tempers, nostrils and hemorroids are flarring in the oft disputed territory known as Mosier Valley.  Sabers are rattling.  Tiger Tanks are being camaflaged.  Shit on a shingle is available.  Fredonia is pushing for universal affordable healthcare and human/animal marriages. Klopstokia is trying to abolish social security, voting and pleasure. Picklevania is conducting horrible gherkin genetic experiments. Lichenstein remains on the back porch swilling beer.<br /><br />Bring: hydroweapons, h2O blasters, squirt guns, aquatic grenades, your own self, other selves, change of clothes and a will to conquer.  Might be a good idea for leaders to Rally their citizens NOW!!  (see Aquatic Latex Weapons Party)<br /> <br />	Sat, Nov 8, 2014 at 12:37 PM (Clodhopper)
11	Trivia Tuesdays	tr	Malarkey’s Tavern		Silver Fux	3:00 PM CST	<br /><a href="http://www.malarkeystavern.com/">Malarkey's Tavern</a><br />4460 Trinity Mills Rd<br />Dallas, TX 75287	https://www.google.com/maps/place/Malarkey%27s+Tavern/@32.989746,-96.831213,17z/data=!3m1!4b1!4m2!3m1!1s0x864c23f9148e0fcb:0x3d508e132e71713d				5:54 PM CST	Tuesday, November 11, 2014	Tonight is Trivia Tuesday at Malarkey's off Tollway and Trinity Mills. Starts at 7:30. Cum play with us. Also get there early if you can. Hope to see you tonight.	Tue, Nov 11, 2014 at 12:44 PM (Clodhopper)
12	Dallas Urban Hash	du	Put on Your<br />Big Girl Panties	275	Daddy's Big Load, McGayer, MILFshake & SilverFux	7:00 PM CST	5810 McCommas Blvd<br />Dallas, TX	https://www.google.com/maps/place/5810+McCommas+Blvd,+Dallas,+TX+75206/@32.8299132,-96.767297,17z/data=!3m1!4b1!4m2!3m1!1s0x864e9f6a6840534f:0x6375039a33643392	$7.00	Not Friendly		5:54 PM CST	Wednesday, November 12, 2014	Ohhhh...waaaaaa...it's going to be cold tomorrow...I don't want to go hashing....<br /><br />Well, put on your big girl panties, man up, throw an extra layer of clothes on, and come on out tomorrow for a hash you're not going to want to miss.<br /><br />Why, you say?<br /><br />Well, first of all, you've got MILF and DBL as two of the hares.  Some hashes promise boobs...well, we're actually DELIVERING a massive amount of boobs right there.  It's just up to you to make it worth their while for those to come out and play!  Not to mention all the other harriettes out there.  And you know what cold weather does to nipples...<br /><br />Next...the hares are going to be out in that weather tomorrow for longer than you are.  You think we're going to lay a ball-busting, long-assed, Condom Mint style trail?  Not likely.  Short trails = way more time inside a bar afterwards...<br /><br />Oh, did we mention MILF is making some of her "holy shit I want another one of those" jello shots?  Her special, wintery, make-you-tingle-all-over kinda shots?  Want some of THAT in your mouth?   Ya, we thought that would catch your attention.<br /><br />Finally...when did you turn into such a pussy to even think about not go hashing because it was cold?  Hell, it's not even going to be raining.  Hashing is an all-weather sport and you damn well know it.  So, drink a down-down now for even thinking about missing this, and probably another one with the pre-lube once you get to the hash start tomorrow.  <br /><br />Details:<br /><br />Hares:  MILF and McGayer, DBL, and Silver Fux<br />When:  Gather at 6:30, Pack away damn close to 7:00.  <br />Where:  5810 McCommas Boulevard, Dallas, TX<br />Bring:  Your damn coat, you idiot.  And a flashlight...sheesh!  Virgins and boobs...duh!<br />TURDS: OK on trail, NOT OK for on-in	Tue, Nov 11, 2014 at 4:45 PM (Clodhopper)
