DAY	KENNEL	TYPE	TITLE	RUN	HARES	TIME	START	MAP	HASHCASH	TURDS	TWEET	TWILIGHT	DATE	DESC	UPDATE
15	NODUH Hash	nd	Punny Limericks<br />Bring your phones.	113	Mouthful	7:00 PM CDT	<br />Mary Kay Museum<br />16251 Dallas Pkwy<br />Addison, TX 75001<br /><br />There is a dirt parking lot immediately to the North of the Mary Kay headquarters. See you there. <br />	https://www.google.com/maps/place/Mary+Kay+Museum/@32.9721714,-96.8223925,208m/data=!3m1!1e3!4m2!3m1!1s0x864c214532c46871:0xd8fb157f651fb372	$7.00			7:58 PM CDT	Monday, September 15, 2014	Monday Sept. 15<br /><br />Mary Kay Museum<br />16251 Dallas Pkwy<br />Addison, TX 75001<br /><br />There is a dirt parking lot immediately to the North of the Mary Kay headquarters. See you there. <br /><br /><br />Theme: Punny Limericks. Bring your phones.<br />Start time and such, per usual.<br />Hare: Mouthful<br /><br />What to bring: Any and all DFW hashers, virgins with good rhyming skills, a hall pass so you can stay out late, hugs. And more hugs. Please. Hugs.	Sun, Sep 14, 2014 at 10:12 AM (cwinborn)
17	Dallas Urban Hash/	du	<span style="color:#f00;">N</span><span style="color:#00f;">e</span><span style="color:#f80;">o</span><span style="color:#f0f;">n</span> Trail	267	Just Darryl &<br />Blonde Dyke Bar	7:00 PM CDT	<br />Hidden Door<br />5025 Bowser Ave<br />Dallas, TX, 75209<br />Park In the back parking lot. No worries, I double checked with the bar and they said it's okay. Not a tow away zone. 	https://www.google.com/maps/place/Hidden+Door+Inc/@32.824584,-96.818881,17z/data=!3m1!4b1!4m2!3m1!1s0x864e9ebe0be009f3:0x71c47fd1bc24d089	$7.00	Not Friendly		7:55 PM CDT	Wednesday, September 17, 2014	<br /><span style="color:#f00;">N</span><span style="color:#00f;">e</span><span style="color:#f80;">o</span><span style="color:#f0f;">n</span> Trail<br />It's Just Darryl's first trail with the ever so fabulous BDB! Be prepared for rain!! Wear your brightest of bright neon colors.  <br /><br />Turds allowed on trail, but not at the ON IN. <br /><br />Bring rain gear, bug spray, and virgins.<br />Bring cash: ON IN is cash only, but they do have an ATM	Tue, Sep 16, 2014 at 8:42 PM (cwinborn)
18	FU H3 Hash	fu	Birthday Hash		Pepe Le Pubes	7:00 PM CDT		http://www.fuh3.com/?ai1ec_event=open-fuh3-108-august-21st-open-3&instance_id=2823	$7.00			7:54 PM CDT	Thursday, September 18, 2014		Tue, Aug 26, 2014 at 3:13 PM (cwinborn)
19	Happy Hour	octoberfest.png	Addison Oktoberfest		Clodhopper	7:00 PM CDT		https://www.google.com/maps/place/Addison+Circle+Park/@32.9612359,-96.8280657,637m/data=!3m2!1e3!4b1!4m2!3m1!1s0x864c2148313f8c19:0x160e9f2175c41ecb				7:53 PM CDT	Friday, September 19, 2014	This Friday, 09/19 HH is at <a href="http://www.addisontexas.net/events/oktoberfest/">Addison Oktoberfest</a>. Usual meeting spot is the big tent.<br />	Mon, Sep 15, 2014 at 5:35 PM (cwinborn)
20	Dallas Hash	dh	Dallas 900th			3:00 PM CDT	Hidden Cove Park at Lake Lewisville <br />20400 Hackberry Creek Park Road<br />Frisco, Texas 75034 	https://www.google.com/maps/place/33%C2%B007%2749.1%22N+96%C2%B055%2742.7%22W/@33.1303195,-96.92853,4048m/data=!3m2!1e3!4b1!4m2!3m1!1s0x0:0x0	$7.00			7:51 PM CDT	Saturday, September 20, 2014	CuM Join us for <br />The Dallas H3 900th Hash <br /><br />September 19-21, 2014 <br />Hidden Cove Park at Lake Lewisville <br /><br /><br />20400 Hackberry Creek Park Road, Frisco, Texas 75034 <br />For the low cost of $69, you get all this great stuff! <br />(Special Saturday day rate of $25 for the hash and dinner on Saturday night) <br /><br /><ul><li>Beer! </li><li>Cabin camping, 4-person occupancy. You may tent camp, but no discount on hash cash  </li><li>Dinner on Friday, breakfast/lunch/dinner on Saturday, and breakfast on Sunday morning  </li><li>A gimmee guaranteed if you rego before 9/6  </li><li>An awesome trail on Friday and Saturday!  </li></ul><br /><br /><div style="text-align:center;"><a href="Dallas900thRego2.pdf"><img src="GetRego.png" /></a></div>   <br /><br />Who’s Comming:<br />Daddy's Big Load<br />Bacon Drippn's<br />Shut the Fuck up Special Fred<br />Condom Mint<br />Texas Hold 'em Titties<br />No I'm Not<br />Blond Dyke Bar<br />Double Dribble<br />Wanker Yanker<br />Closet Porn Star<br />Dirty Deeds<br />Back That Ass Up<br />Who the Fuck is Chip<br />Chicken Chocker<br />Tater Tits<br />Ben Dover are my Panties are Showing<br />Double Lost Sole<br />Jedi Mind Wank<br />Soap<br />Sucks 4U<br />Ovulator<br />Auditurd<br />Chihuahuahballs<br />Diddler on the Roof<br />Rub Me Wrong Time<br />Just O<br />Haul Ass<br />Tropper<br /><br /><br /> <br />Names are coming in fast...get your regos to me ASAP to reserve your spot!!<br /><br />	Wed, Aug 27, 2014 at 12:32 PM (cwinborn)
21	Bike Hash	bh	Mad Duck Sports		Burning Bush<br />(AKA HoPaint)	1:00 PM CDT	<br />Mad Duck Sports<br />721 E Northwest Hwy (aka Bus 114)<br />Grapevine, Texas	https://www.google.com/maps/place/Mad+Duck+Cycling+Shop/@32.941514,-97.07092,17z/data=!3m1!4b1!4m2!3m1!1s0x864c2b15faf08857:0x1513328baf677ba	$3.00			7:50 PM CDT	Sunday, September 21, 2014	Sunday, SUNDAY, SUNDAY!!!! BE THERE!<br /><br />Bike Hash next Sunday 1pm, $3 hash cash.<br /><br />Hare Burning Bush ( aka  whilst afoot) promises ' special down down beer' at the circle.<br /><br />Start- Mad Duck Sports located at 721 E Northwest Hwy (aka Bus 114) in Grapevine.<br /><br />The hare advises that you can do most of the trail on a road bike, but there will be a couple of short sections that you will have to walk/carry your bike or find a way around. <br /><br />See you there! BB<br />	Sat, Sep 20, 2014 at 3:01 PM (cwinborn)
22	NODUH Hash	nd	Morbid Trail	114	Bald Head Yogurt Slinger <br /> & Just Bryan	7:00 PM CDT	<br />Chaddick Center<br />1201 East 15th Street<br />Plano, Texas	https://www.google.com/maps/place/Chaddick+Center/@33.0198183,-96.6967444,19z/data=!4m2!3m1!1s0x864c191a60cacfbf:0x18a6019a03402fe8	$7.00			7:48 PM CDT	Monday, September 22, 2014	Morbid Trail<br /><br />First of all, you will not DIE. At least not from the trail. Come drink with the dearly (or not so dearly) departed. There’s no shiggy to speak of, but there is an On-In with a view that requires advanced climbing skills. By advanced, we mean you should know how to walk up a set of stairs.<br /><br />TURDs: are okay on trail, but not at On-After. Bald Head Yogurt Slinger is happy to provide an air-conditioned oasis for your TURD during On-After, should you choose to bring them.<br /><br />And if you’re celebrating World Car Free Day, take DART to Downtown Plano Station.<br /><br /><br />What to bring: Flashlight,  Bug spray, whistle, virgins<br />	Mon, Sep 22, 2014 at 11:01 AM (cwinborn)
24	Dallas Urban Hash	du	Super Hero Trail	268	TitCock TitCock,<br />Just Janice & Just Wendy	7:00 PM CDT	<br />Mockingbird Station Parking Lot<br />North East Corner	https://www.google.com/maps/place/32%C2%B050%2720.3%22N+96%C2%B046%2719.1%22W/@32.838978,-96.771977,17z/data=!4m2!3m1!1s0x0:0x0?hl=en	$7.00			7:46 PM CDT	Wednesday, September 24, 2014	<br />I'll have a write up sent out soon but just so everyone knows and have enough time to plan here's the basics.<br /><br />Start location is the usual spot at Mockingbird station at 6:30 p. <br />BYOB prelube.<br /><br />Theme: Super Hero or Ambiguously Gay superhero. Get yourself a mask, cape and underwear because you will be the Super Queero of the day!<br /><br />SnM Garb is also acceptable and hash inappropriate. Black pleather tights or just tights in general.	Wed, Sep 24, 2014 at 10:50 AM (cwinborn)
25	FU! Thursday is a Drinking Day!	fh	Redneck Heaven		John Travolta’s Co-Pilot	7:00 PM CDT		http://www.fuh3.com/?ai1ec_event=open-fuh3-thursday-is-a-drinking-day-august-28th-open-3&instance_id=2829				7:44 PM CDT	Thursday, September 25, 2014		Thu, Sep 25, 2014 at 5:37 PM (cwinborn)
26	Happy Hour	bigtex.png	State Fair of Texas<br />Opening Day!		BTAssUp	6:00 PM CDT	Big Tex	https://www.google.com/maps/place/Big+Tex,+Dallas,+TX+75210/@32.779722,-96.762222,17z/data=!3m1!4b1!4m2!3m1!1s0x864e9897229bf23b:0x11e33c93d6ee04de				7:43 PM CDT	Friday, September 26, 2014	 I wanted to claim this Friday. Opening day at the fair! September 26th!!<br /><br />Meet at big tex around 6. I'll be there around 4 pm or so. Text me when you get there. 214.335.5429. <br />	Tue, Sep 23, 2014 at 3:57 PM (cwinborn)
27	Fort Worth Hash	fw	Pu$$y Po$$e Hash	756	Free Facial Fairy<br />Porta Hottie<br />2 Dollops	3:00 PM CDT	<br />Home Depot<br />852 International Parkway<br />Flower Mound, Tx.	https://www.google.com/maps/place/852+International+Pkwy,+Flower+Mound,+TX+75028/@32.9926562,-97.0606879,17z/data=!3m1!4b1!4m2!3m1!1s0x864c2ced58401225:0x1f7d5be95571e6bf	$7.00 &mdash; BYOB prelube beer	Friendly		7:42 PM CDT	Saturday, September 27, 2014	5th Pu$$y Posse Analversary Trail Info<br />Date: Saturday, September 27, 2014<br />Time: 3:00 p.m.<br />Start Location: Home Depot, 852 International Parkway Flower Mound, Tx. Find hashers no where near the entrance of the store.<br />Hares: The Free Facial Fairy, 2 Dollops in the Bush, Cums Right Here, and Porta Hottie<br />Hash cash: $7.00<br />Turd Friendly —<br />What to Bring: Virgins, obviously at this point a fucking umbrella, rain boots, life vest, a boat or something to keep you afloat, bug spray, dry clothes, zombie repellant, safety equipment, whistle, Pink and pink accessories, pink, pink, hackie sacks, safety gear, hula hoops, dread-locked virgins, BYOB PreLUBE, sunblock, new shiny shoes,<br />What to wear: PINK!!!<br /><br />Be brave, may G guide you.<br /><br />Apologetically, <br />Pu$$y Posse (2 Dollops in the Bush, Cums Right Here, Porta Hottie, and THE Free Facial Fairy)<br />We mean well.....<br />	Fri, Sep 26, 2014 at 2:25 PM (cwinborn)
