DAY	KENNEL	ICON	TITLE	RUN	HARES	TIME	START	MAP	HASHCASH	TURDS	TWEET	TWILIGHT	DATE	DESC	UPDATE
1	Dallas Hash	dallas.png	New Year Day Trail	1077	Ana L Thrax and Mr E hare	1:00 PM	524 Bonnards Peak Road, Burleson, TX	https://www.google.com/maps/place/524+Bonnards+Peak+Rd,+Burleson,+TX+76028/@32.515807,-97.3755657,17z/data=!3m1!4b1!4m5!3m4!1s0x864e6a6d2c93bef9:0x2db12ae2c4a4354c!8m2!3d32.515807!4d-97.373377	10$ Plus Side Dish	???		5:59 PM	Friday, January 1, 2021	<br />Ladies and Gentlemen, Boys and Girls, Hashers from all across the MetroPlex.<br />It’s that time of the year again, the end of the year. With a end alas comes the end of the Anal Thrax regime. Yes that’s right folk, I’ll be stepping down from MisMan all together. Let’s be honest... it’s not like I’ve been around much this year.<br />Fear not for the hash is in good hands. Bend Over will be taking on the Mantle of GM!!!!! He will need your support. There are multiple positions open on MisManagment. Come on come all abs join the fun.<br /><br />As a fare well HooRay we will be hosting one last event and that’s is NYD hash! That’s right, you will get one more party this year.. eeer next year but still kinda this year.<br /><br />Theme:<br />The Color Scheme for this years event is Red White and Blue. We should all have something that still fits in these colors.<br /><br />This years event will be a bit different then in years past since we don’t want to be gathered on a tiny space like the curtain club. We couldn’t even find an acceptable place in down town Dallas. Soooo this year we will be a new area.<br /><br />More details to come soon but please let’s all be responsible. If you are sick or have been around someone that’s sick stay home. If you or anyone you have close contact with is at at hi risk stay home. Any event at all is a risk and we all have to accept that.<br /><br />On~On!<br /><br /><br />Please Park along the street and we will kick off Trail at the end of the street in the colda sack. <br /><br />Hash cash is 10$ Plus a Dish to share or 20$ without a dish<br /><br />pack away at 1:30'ish<br /><br />	12/26/20 15:53 (Ez) 1.28
5	Dallas Urban Mountain Bike Hash	DUMB.png	Third TImes a Charm?	69	Deflated	7:00 PM	White Rock Ale House	https://g.page/White-Rock-Alehouse-and-Brewery?share	Pay-as-you-go	If they can keep up.		6:02 PM	Tuesday, January 5, 2021	Let's try this again and see if we can get more than 3 hashers to show.<br />Expect a nice ride along the Santa Fe Trail.  Hell, expect anything you want - I'm not sure where the trail will actually go.	1/4/21 11:10 (big_g) 1.28
6	Dallas Urban Hash	DUH.png	Because We Need a Safe Mid-week Run	576	Fruity Pebbles	6:30 PM Gather — 7:00 PM Pack away!	Boy Sount Hill<br />Parking Lot off Mockingbird Exit Ramp<br />Dallas, TX 75218	https://www.google.com/maps/place/Boy+Scout+Hill,+Dallas,+TX+75218/@32.8522262,-96.7337664,14z/data=!3m1!4b1!4m5!3m4!1s0x864ea1b31d5d55cd:0xc50aa8ffbf21428d!8m2!3d32.8522279!4d-96.7162568	$5.00	Yes		6:03 PM	Wednesday, January 6, 2021	WEDNESDAY, JAN. 6, 2021<br /><br />HASH RUN № 576 - BECAUSE WE NEED A SAFE MID-WEEK RUN<br /><br />TIME: 6:30 MEET 7:00 PM AWAY<br /><br />START ADDRESS: BOY SCOUT HILL, WHITE ROCK LAKE<br />PARKING LOT OFF MOCKINGBIRD EXIT RAMP FROM NORTHBOUND BUCKNER<br />ONE MILE FROM WHITE ROCK DART RAIL STATION<br /><br />MAP: HTTPS://GOO.GL/MAPS/G5ARQDVXRVYQQTWP7<br /><br />HARES: FRUITY PEBBLES<br /><br />HASH CASH: $5.00<br /><br />YES TO TURDS/DOGS<br /><br />DESCRIPTION: MEET AT PARKING LOT OFF EXIT RAMP NB BUCKNER ONTO MOCKINGBIRD (THIS IS NOT THAT LOT INSIDE THE PARK CLOSER TO THE LAKE). THERE IS A COVERED PAVILION IF IT GETS WET.<br /><br />TO HELP KEEP SAFE AND DISTANCED, WE'LL CIRCLE WITH DISTANCES.<br /><br />WHAT TO BRING: A MASK, FLASHLIGHTS, $5 HASH CASH, LESS FOR NO BEER.<br />PLEASE BRING AND WEAR YOUR FACE MASK	1/6/21 14:49 (Three Strokes) 1.28
9	Fort Worth Hash	ftworth.png	Cancel	920		3:00 PM			$7.00 &mdash; BYOB prelube beer			6:05 PM	Saturday, January 9, 2021		1/7/21 6:42 (Tanned Peaches) 1.28
10	Flour Mound H3	Flour Mound H3-01.png	CANCELED		CANCELED	1:00 PM	CANCELED  		CANCELED	CANCELED		6:06 PM	Sunday, January 10, 2021	CANCELED	1/8/21 16:13 (BDB) 1.28
13	Dallas Urban Hash	DUH.png	For a fun, safe, nid-week run!	577	Sleazy Rider	6:30 PM Gather — 7:00 PM Pack away!	Scout Hill Drive<br />Dallas, TX 75218	https://www.google.com/maps/place/Scout+Hill+Dr,+Dallas,+TX+75218/@32.8518933,-96.7221432,18z/data=!3m1!4b1!4m5!3m4!1s0x864ea1b33f7594f9:0xbc83374f827fc962!8m2!3d32.8518915!4d-96.7212666	$5.00	Yes		6:09 PM	Wednesday, January 13, 2021	<br />WEDNESDAY, JAN. 13, 2021<br />HASH RUN № 577 - FOR A FUN, SAFE, MID-WEEK RUN !<br /><br />HARE: SLEAZY RIDER<br /><br />TIME: 6:30 MEET 7:00 PM AWAY<br /><br />START ADDRESS: SCOUT HILL DR DALLAS, TX 75218 PARKING LOT OFF MOCKINGBIRD EXIT RAMP FROM NORTHBOUND BUCKNER. ONE MILE FROM WHITE ROCK DART RAIL STATION.<br />THE LOT IS EVEN WITH 288 N BUCKNER RD DALLAS, BUT ON THE EXIT RAMP HEADING NORTH.<br /><br />MAP: HTTPS://GOO.GL/MAPS/RVUCPCWTXIFHCHZE9<br /><br />HASH CASH: $5.00<br /><br />YES TO TURDS/DOGS<br /><br />DESCRIPTION: MEET A PARKING LOT OFF EXIT RAMP NB BUCKNER ONTO MOCKINGBIRD (THIS IS NOT THAT LOT INSIDE THE PARK CLOSER TO THE LAKE).<br /><br />TO HELP KEEP SAFE AND DISTANCED, WE'LL CIRCLE WITH DISTANCES. WHAT TO BRING: A MASK, FLASHLIGHTS, $5 HASH CASH, LESS FOR NO BEER.<br />PLEASE BRING AND WEAR YOUR FACE MASK	1/12/21 18:48 (Three Strokes) 1.28
16	Dallas Hash	dallas.png	In-Cumin Admin	1078	Admin	2:00 PM	4400 Worcola St, Dallas, TX 75206	https://goo.gl/maps/Qc8RACrhm7cD8FeG7	$7.00	Yes		6:11 PM	Saturday, January 16, 2021	Please welcome the new Admin for 2021<br />We will be meeting in the usual place. <br />We will be running around in circle. <br /><br />Theme: White and gold<br />Trail will be shuggy level 1-2 and will be 4-6 miles long<br /><br /><br />Ben Dover R My Panties Showin your Dallas GM.<br />DallasH3 needs your Help!<br />Volunteers for Mis-management 2021<br />Openings:<br />Grand Master: Ben Dover R My Panties Showin'<br />Religass Adviser:<br />Beer Meister:<br />Hash Cash:<br />Haberdasher:<br />Hare Raiser:<br />Hash Flash: III and YYY<br />Food/Snack Meister:<br />Please PM Ben Dover<br /><br />On~On!	1/13/21 16:29 (Ben Dover R My Panties Showin') 1.28
17	Bike Hash	bikeHash.png				1:00 PM			$3.00			6:12 PM	Sunday, January 17, 2021		12/15/20 16:31 (The Hopper) 1.31
17	Happy Hour	happy3.png	Bubble HH		Bubble Cumm	6:37 PM	<br />Bubble Cumm<br />1210 Killarney St<br />Grapevine, TX 76051	https://www.google.com/maps/place/1210+Killarney+St,+Grapevine,+TX+76051/@32.9520033,-97.0920887,17z/data=!3m1!4b1!4m5!3m4!1s0x864c2b4c63e39a99:0xc2d8403bfec59c08!8m2!3d32.9520033!4d-97.0899	BYOB			6:12 PM	Sunday, January 17, 2021	<br />Bubble Cumm will be hosting a Happy Hour at his back yard with a fire, weather permitting.<br /><br />Celebrating the lovely Wax On Whacks Off Hashiversary!<br /><br />Please BYOB, chair and mask. We'll be social distancing and being safe in general. This is an outdoor even, so please dress warmly.<br /><br />Start time is 6:37pm. Address is 1210 Killarney street Grapevine TX 76051.<br /><br />If you get lost call me (214-684-5356) and I’ll get you really lost.<br /><br />On~On!	1/15/21 8:30 (Three Strokes) 1.28
20	Dallas Urban Hash	DUH.png	Because we don't have enough fun, safe kid-week runs!	578	Clodhopper	6:30 PM Gather — 7:00 PM Pack away!	5600 Block of SMU Blvd.	https://www.google.com/maps/place/32°50'31.0%22N+96°46'15.6%22W/@32.841956,-96.7715515,19z/data=!3m1!4b1!4m6!3m5!1s0x0:0x0!7e2!8m2!3d32.8419559!4d-96.7710034	$5.00			6:15 PM	Wednesday, January 20, 2021	<br />Park along SMU Blvd. west of Greenvile Ave. near Torchys Tacos <br />( That <i>might not</i> be where we are going) — or — drive into the parking entrance on the west side on that large building, and park where it says "RETAIL PARKING". We will be gathering outside on SMU Blvd. <br /><br />Trail will be short.	1/20/21 15:32 (The Hopper) 1.31
