1	Contra Hash	ch	Return of the Contra Hash		MBFJ	4:00 PM CDT	The old Las Colinas Polo Center off of Royal near Luna.	http://goo.gl/maps/gY0vw	BYOB			8:17 PM CDT	Saturday, September 1, 2012	Dickerections:<br />BYOB<br />> From 635 take Luna exit South.<br />Turn right onto Royal.<br />Go over the bridge and make your first U turn by the school.<br />Turn right into the last right on your right before going over the<br />bridge (good luck making sense of that).<br />Hint: You will see horse riding facilities<br />Watch out for the speed bumps, they are killer.<br />Follow the driveway around to the left and go over the one lane bridge.<br />Park to the right in the gravel parking lot.<br />BYOB<br /><br />Special Dickerections:<br />BYOB<br />This is a Contra Hash. Bring your own beer. It will be put in a<br />cooler and become Contra Hash community beer.<br />I'm not lugging around a bunch of 6 pack mini personal coolers for the<br />snob elitists who demand separation from the lower classes. Forget<br />that!<br />Bring some ice.<br />BYOB	 
15	Fort Worth Hash	fw	Talk Like a Pirate Hash	703	My Boyfriend Joe &amp; 4-Play	3:00 PM CDT	S West St &amp; Grand Ave<br />Arlington, TX 76010	http://goo.gl/maps/k1Nxc	$7.00			7:58 PM CDT	Saturday, September 15, 2012	Aaaarrrgh Maties!<br />Blow me down! It's the 3rd Anal Pirate Hash for Talk Like a Pirate Day.<br />Saturday 9/15 at 3:00PM<br />Start location is:<br />S West St &amp; Grand Ave<br />Arlington, TX 76010<br />http://goo.gl/maps/5G35Q<br /><br />Bring extra $$ for t-shirts, priced between $12 and $15, depending on <br />final shirt costs and how many singles 4-Play can earn the preceding <br />Friday night.<br /><br />Wear your favorite Pirate costume. There will be some shiggy but not <br />much. Bring your Pirate weaponry, including swords, cutlasses, daggers, <br />dirks, boarding hooks, axes, marlinspikes, sabers, broadswords, or just <br />a knife. Try to not bring chemically impelled weaponry such as <br />blunderblusses, muskets, stinkpots, etc. If you want to bring and hash <br />with a cannon, by all means do it.<br /><br /><br />Dickerections:<br />Park in the UTA parking lot in the Southwest corner of the parking lot <br />on the Northwest corner of the intersection.<br />To get there from 360, take Park Row Dr. West past Center St. and Pecan <br />St and turn right, North, on S. West St.. Go a block and park.<br /> From Cooper, go the opposite of West on Park Row for about 3 blocks and <br />turn left, North, on S. West. Go a block and park.<br />There's no class on Saturdays, and you will be there to prove the point, <br />so there will be no problem with parking.<br />Notice how I used a lot of geographical terms, like West, North South, <br />and park. Hopefully this will confuse you and you won't show up. We <br />don't have a lot of t-shirts, so by getting easily confused and lost, <br />we'll save you the disappointment of not being able to buy the coolest <br />Hash t-shirts of the year.<br />For fun take out these words from the dickerections and see if you can <br />get there - “park, West, South, North”.<br /><br />Peace out you Scurvy Dogs!<br />MBFJ	 
16	Bike Hash	bh	September Bike Hash		Little Miss Muff &amp; Muff Driver	1:00 PM CDT	Plano East Senior High School <br />3000 Los Rios Blvd<br />Plano, Texas	http://goo.gl/maps/aQ2Nl	$3.00			7:57 PM CDT	Sunday, September 16, 2012	Come on out to the Bike Hash<br />Road Bike Friendly/ Great weather expected/ We'll be grilling hot dogs at the on-in!<br />Where: Plano East Senior High School <br />3000 Los Rios Blvd Plano<br />When: Sunday. September 16th 1pm<br />Hash Cash: only $3.00<br />Your hares are Little Miss Muff (Wedgie O'Brian in a bike helmet) and Muff Driver (Booty Booty Bling Bling in a bike helmet)<br /><br />Directions:<br />75 north<br />Exit Parker road and head east (make a right just past Best Buy)<br />Head east on Parker for 3 miles<br />Take a right at the light Los Rios blvd<br />Head down half a mile until you see Plano East Senior High on your left<br />Take a left at Merriman Road <br />Turn into the school and drive around back to the tennis courts <br />	 
19	Dallas Urban Hash	du	Hooked on Chronic Analversary	164	Hooked on Chronic &amp; Wenis	7:00 PM CDT	Parking lot behind Quesa-D-Ya's<br />2820 Greenville Avenue<br />Dallas, TX	http://goo.gl/maps/RmDYj	$7.00	Not Friendly		7:53 PM CDT	Wednesday, September 19, 2012	Cum one, cum all to my official analversary. Two years ago you were blessed with my presence and have randomly seen me since. It's time celebrate by an epic Hooked on Chronic and Wenis trail. There will be shiggy (or not), mud (maybe), beer (or sure!), virgins (if you bring em) and at least two sets of amazing breasts. Bring whistles, flashlights and $7 Hash Cash but leave your Turds at home. Trail is A to A starting in the parking lot behind Quesa-d-ya's (Goodwin and Greenville). <br />	 
20	FU! Thursday is a Drinking Day!	fh	Double Drinking Day &amp; Mini Contra Hash			7:00 PM CDT		http://www.fuh3.com/?ai1ec_event=fuh3-thursday-is-a-drinking-day-september-27&amp;instance_id=1757	$7.00			7:51 PM CDT	Thursday, September 20, 2012		 
21	Happy Hour	hh	Betty Ford East — Drink for the Cure			6:00 PM CDT	Hidden Cove Park at Lake Lewisville<br />20400 Hackberry Creek Park Road, <br />The Colony, TX	https://maps.google.com/maps?q=20400+Hackberry+Creek+Park+Road,+The+Colony,+TX&amp;hl=en&amp;geocode=+&amp;hnear=20400+Hackberry+Creek+Park+Rd,+The+Colony,+Denton,+Texas+75034&amp;t=m&amp;z=17				7:50 PM CDT	Friday, September 21, 2012	Betty Ford East (Drinking for the Cure) is cumming! This year we're treating you to a brand new area that's only mildly been defiled by the hash, but certainly not properly! <br /><br /><a href="../../Road_Trip/BFE2012Rego.pdf">Get Rego</a><br /><br />For $69 hash cash, you get the following:<br /><br />Beer!<br />Cabin camping, 4-person occupancy. You may tent camp if you'd like, but no discount on hash cash.<br />Dinner on Friday, breakfast/lunch/dinner on Saturday, and breakfast on Sunday morning.<br />An event t-shirt guaranteed if you rego before 9/7.<br />An awesome trail on Saturday!<br />Flippy cup!<br /><br />There will be a day rate of $15 for those of you that only want to hash and have dinner on Saturday night.<br /><br />Be aware that there is a $10 per car park entry fee that we're unable to pay for in advance, so carpool people.<br /><br />Send your rego in today to secure your cabin. First cum, first served!<br />	 
21	Happy Hour	hh	Addison Oktoberfest			7:00 PM CDT	4970 Addison Circle Drive<br />Addison Texas	http://goo.gl/maps/9fBQu				7:50 PM CDT	Friday, September 21, 2012	If you are not going to BFE,, and you still want to get drunk and Polka, this is for you. <a href="http://www.addisontexas.net/events/Oktoberfest/general_info" >Link to Event</a>	 
22	Dallas Hash	dh	Betty Ford East — Drink for the Cure	860		3:00 PM CDT	Hidden Cove Park at Lake Lewisville<br />20400 Hackberry Creek Park Road, <br />The Colony, TX	https://maps.google.com/maps?q=20400+Hackberry+Creek+Park+Road,+The+Colony,+TX&amp;hl=en&amp;geocode=+&amp;hnear=20400+Hackberry+Creek+Park+Rd,+The+Colony,+Denton,+Texas+75034&amp;t=m&amp;z=17				7:48 PM CDT	Saturday, September 22, 2012	Betty Ford East (Drinking for the Cure) is cumming! This year we're treating you to a brand new area that's only mildly been defiled by the hash, but certainly not properly! <br /><br /><a href="../../Road_Trip/BFE2012Rego.pdf">Get Rego</a><br /><br />For $69 hash cash, you get the following:<br /><br />Beer!<br />Cabin camping, 4-person occupancy. You may tent camp if you'd like, but no discount on hash cash.<br />Dinner on Friday, breakfast/lunch/dinner on Saturday, and breakfast on Sunday morning.<br />An event t-shirt guaranteed if you rego before 9/7.<br />An awesome trail on Saturday!<br />Flippy cup!<br /><br />There will be a day rate of $15 for those of you that only want to hash and have dinner on Saturday night.<br /><br />Be aware that there is a $10 per car park entry fee that we're unable to pay for in advance, so carpool people.<br /><br />Send your rego in today to secure your cabin. First cum, first served!<br />	 
23	Sunday Brunch	sb	Sunday Brunch and Cowboy Game		How Big is Your Mouth &amp; Va Jar Jar	11:00 AM CDT	503 East Mitchell, Arlington Texas 76010<br />Park on Mary street next to Cemetary or at Baseball field at 700 Mary Street	http://goo.gl/maps/6tu4x				7:47 PM CDT	Sunday, September 23, 2012	9/23 Sunday Brunch/Cowboy Game*<br /> <br />Hosts?: How Big is Your Mouth &amp; Va Jar Jar<br /> <br />Where?: 503 East Mitchell, Arlington Texas 76010<br />Park on Mary street next to Cemetary or at Baseball field at 700 Mary Street<br /> <br />Time?: 11:00 - ?<br /> Game time is 1:00<br /> <br />What?: Potluck Brunch, BYOB, BYO stuff for Mimosas/Bloody Mary's<br />Grill will be fired up if you want some hot meat for your mouth	 
24	NODUH Hash	nd		60	It Was a Boy Dog	7:00 PM CDT	Start for the NODUHHH tonight is behind the CiCi's Pizza at Spring Creek and Alma in Plano.	http://goo.gl/maps/s2M7q	$7.00	Trail is Turd friendly but MUST be on a leash. On-after is not.		7:46 PM CDT	Monday, September 24, 2012	What to bring: Flash lights, virgins, change of shoes (possible a change of clothes.. ) more virgins... There is the potential for possibly maybe getting in to some poison ivy (if I decide to be an evil bastard).. and more virgins!<br /><br />Where: BEHIND the CiCi's Pizza at Spring Creek and Alma in Plano.<br />	 
26	Dallas Urban Hash	du	Birthday Hash<br />&amp; 200th Hash	165	STFU Special Fred<br />&amp; Martha F. Stewart	7:00 PM CDT	DART Inwood/ Love Field Station (Orange and Green Line) Southwest corner of Inwood Road and Denton Drive, (32.823414,-96.833498), 2720 Inwood Rd., Dallas 75235, Gather at south end of parking lot.	http://goo.gl/maps/P33C6	$7.00	Friendly		7:43 PM CDT	Wednesday, September 26, 2012	Shut the Fúçk Up, Special Fred's Birthday<br /><br />Date: 26 Sep 2012<br /><br />Time: Gather 6:30pm; Hounds Away 7:00pm CDT<br /><br />Start Address: DART Inwood/ Love Field Station (Orange and Green Line) Southwest corner of Inwood Road and Denton Drive, (32.823414,-96.833498), 2720 Inwood Rd., Dallas 75235, Gather at south end of parking lot.<br /><br />Hare: Shut the Fúçk Up, Special Fred<br /><br />Hash Cash $7<br /><br />TURDs welcome, trail and on-in.<br /><br />Also:<br />1. Premium Beer at pre-lube and BX<br />2. Special Co-hare Martha F. Stewart for his 200th hash!<br /><br />Description: In honor of his 57th birthday last week, StFU, Special Fred is your humble hare on Wednesday. This is his third DUHHH Trail. Trail is A to A'. Copious amounts of Beer and Food available at the On-In. Expect multiple blow-jobs, scenic vistas, an epic trail puzzle. There will be light urban shiggy. Bring Virgins, flash-light or headlamp, hash cash, money for food, and an appetite for dealing out and receiving abusive accusations.	 
27	FU H3 Hash	fu	Pepe Le Pubes Bday Hash			7:00 PM CDT		http://www.fuh3.com/?ai1ec_event=fuh3-run-43-september-20th-open&amp;instance_id=1711	$7.00			7:42 PM CDT	Thursday, September 27, 2012		 
28	Happy Hour	hh	Beers Snobs R Us HH		SuperHomo...ect.	7:00 PM CDT	Flying Saucer Downtown Ft Worth.					7:40 PM CDT	Friday, September 28, 2012		 
29	Fort Worth Hash	fw	3rd Anal “Fall Into the Pink” Hash	704	The Pu$$y Po$$e	3:00 PM CDT	Parking lot of Kohl's<br />6091 Precinct Line Road<br />North Richland Hills, TX 76180	http://goo.gl/maps/eKptQ	$7.00			7:39 PM CDT	Saturday, September 29, 2012	Cum one, Cum ALL, just CUM a lot at the 3rd Anal Pussy Posse Hash! Pussy will be traveling from far and wide to bring you plenty of hot pink fun!<br /><br />What: 3rd Analverssary of the Pussy Posse<br />When: Saturday, September 29th<br />Time: 3:00 p.m.<br /><br />Start Location: Parking lot of Kohl's<br />6091 Precinct Line Road<br />North Richland Hills, TX 76180<br />Map of Start Location: Click here.<br /><br />Why: Because you love pussy! I mean really, who does not love pussy :)<br />What to wear: PINK, PINK, and lots more PINK!!<br />What to Bring:<br />Yourself<br />Virgins<br />Whistle<br />Hash Cash<br />Change of clothes, but only if they are pink!<br />On-we love you so much we bring you pussy-on,<br />2 Dollops in the Bush, Cums Right Here, Free Facial Fairy, and Port A Hottie	 
