DAY	KENNEL	TYPE	TITLE	RUN	HARES	TIME	START	MAP	HASHCASH	TURDS	TWEET	TWILIGHT	DATE	DESC	UPDATE
1	Dallas Hash	dh	New Year’s Day<br /><img src="shades.png" width="110" height="10"/><br />Shades of Gray	895	Condom Mint	1:00 PM CST	<br />Reno’s Chop Shop<br />210 N Crowdus<br />Dallas, 75226	https://maps.google.com/maps?q=32.785398,-96.783957(201+N+Crowdus+St)&hl=en&ll=32.785795,-96.784229&spn=0.007577,0.0078&sll=32.786566,-96.783258&sspn=0.002115,0.001963&t=m&z=17&iwloc=A	$10.00 plus a side dish to share	Not friendly		5:59 PM CST	Wednesday, January 1, 2014	SHADES OF GREY<br /><br />Same place as last year. 1 beer check and 1 champagne check.<br /><br />There will be beer and meat provided. Bring a side dish to share. (Feel free to bring crock pots as there are many outlets.)<br /><br />The trail and on-in will be virgin friendly, so invite your friends that haven't come out yet.<br /><br /><strong>More Details:</strong><br /><br />Start location and time are the same as last year.<br /><br />Hare: A drunk Condom Mint<br /><br />Start: 2800 Indiana Street, Dallas, TX (aka Reno's Chop Shop)<br />There is street parking or lot parking that you pay for. If you choose to take the train, you can get off at either the Deep Ellum station or the Baylor Station.  They're almost equidistant from the start.<br /><br /><a href="NYD.jpg">MAP OF AREA</A><br /><br />GPS: 32° 47.119', -96° 47.057'<br /><br />Time: 1pm, but feel free to get there earlier. On-out will be 1:30.  <br /><br />Hash Cash: $10 plus bring a side dish to share. There are outlets at the on-in so crockpots are ok to bring. <br /><br />Virgins: Bring them<br /><br />TURDs: Trail is friendly, on-in is not <br /><br />True trail is several miles (not 2.014 mi or 20.14 mi, but something in between). Depending on how drunk I am from new year's eve, up to half of the trail may be live. There will be a beer check (that you can find, probably) and also a champagne check.<br />	Mon, Dec 30, 2013 at 1:59 PM
2	FU! Thursday is a Drinking Day!	fh	The Chuggin' Monk		Super Homo	7:00 PM CST		http://www.fuh3.com/?ai1ec_event=open-fuh3-thursday-is-a-drinking-day-january-2nd-open&amp;instance_id=2446				6:00 PM CST	Thursday, January 2, 2014		Thu, Jan 2, 2014 at 10:34 AM
3	Happy Hour	hh	Flying Saucer<br />Addison		Back That Ass Up<br />Daddy’s Big Load	5:30 PM CST	Flying Saucer <br />14999 Montfort Drive<br />Addison, TX 75254 <br />Phone: (972) 991-7093	Flying Saucer<br />Addison				6:01 PM CST	Friday, January 3, 2014	When?: Friday 1/3/14 What?: Happy Hour<br />Hares?: Back That Ass Up & Daddy's Big Load<br />Where?: Flying Saucer <br />14999 Montfort Drive<br />Addison, TX 75254 <br />Phone: (972)991-7093<br />http://www.beerknurd.com/stores/addison/<br /><br />So we survived New Year's Day and that shitty, shitty trail...you don't have anything else better to do then spend your time with awesome people and having a drink or two do you? No! So don't make me drink alone!! Let's start this year off with a bang!!<br />	Fri, Jan 3, 2014 at 6:09 PM
4	Fort Worth Hash	fw	Outgoing Admin	738	Bubble Cum<br />wHOre Paint<br />Li’l Chicken Choker	3:00 PM CST	3510 Grapevine Mills Blvd N<br />Grapevine, TX 76051	https://maps.google.com/maps?q=+3510+Grapevine+Mills+Blvd+N&hl=en&ll=32.97076,-97.030778&spn=0.01694,0.019505&sll=32.820664,-96.731542&sspn=1.085966,0.509491&hnear=3510+Grapevine+Mills+Blvd+N,+Grapevine,+Texas+76051&t=m&z=16&iwloc=A	$7.00 &mdash; BYOB prelube beer	Friendly		6:01 PM CST	Saturday, January 4, 2014	What: Out Going Ft. Worth Admin<br /><br />Hares: Bubble Cumm, wHOre Paint and Lil Chicken Choker<br /><br />Start time: 3pm<br /><br />Hash Cash: $7<br /><br />Location: 3510 Grapevine Mills Blvd N, Grapevine, TX 76051<br /><br />(mis) directions: Go to the Grapevine Mills Mall, Just east of International Parkway (2499) and Grapevine Mills Blvd North on Grapevine Mills Blvd North is Sleep Experts, Look for hashers. <br /><br />Info: Should be great in the 60's, slightly shiggy hash, no water unless we find some. Normal hash.....<br /><br />There will be a turkey eagle split and the eagles will need a flashlight!!<br /><br />Turd friendly.<br />	Thu, Jan 2, 2014 at 9:29 PM
6	Happy Hour	BCS.png	BCS Championship<br />Grease Monkey<br />Arlington		WDT	7:00 PM CST	<br />Grease Monkey<br />200 North Mesquite ST,<br />Arlington, TX	https://maps.google.com/maps?q=Grease+Monkey,+North+Mesquite+Street,+Arlington,+TX&hl=en&ll=32.738962,-97.105848&spn=0.006489,0.008894&sll=32.723465,-97.115707&sspn=0.207671,0.284615&oq=Grease+Monkey&t=h&z=17&iwloc=A				6:03 PM CST	Monday, January 6, 2014	Hashers in the Arlington area who wish to drink with TPIW,B and WDT, meet us at Grease Monkey for cheap beers and tasty burgers.  We will be there around 7:30 p.<br /><br />On Auburn<br />	Mon, Jan 6, 2014 at 6:23 PM
8	Dallas Urban Hash	du	Anti-Condom<br />Mint Trail	231	Silverfux	7:00 PM CST	1878 West Mockingbird Lane<br />parking lot underneath the red sign with white lettering that says "Mockingbird Center". 	https://maps.google.com/maps?q=1878+West+Mockingbird+Lane,+Dallas,+TX&hl=en&sll=32.820664,-96.731542&sspn=0.908244,0.870667&oq=1878+West+Mockingbird+Lane&t=h&hnear=1878+W+Mockingbird+Ln,+Dallas,+Texas+75235&z=19&iwloc=A	$7.00	Not Friendly		6:05 PM CST	Wednesday, January 8, 2014	<strong>NEWSFLASH — </strong>Rain has ended!!!<br /><br />FYI - the bill board had now been fixed. It is a red sign with white lettering that says "Mockingbird Center". <br /><br /><br />Having trouble recovering from Condom “Death March” Mint’s trail last Wednesday?  As I promised/shouted/slurred at the New Year's hash, this anti-CM trail will be WAY the fuck shorter, not have multiple arrows going in different directions from the same spot, and we won’t be looking at CM’s bare butt for the majority of circle.<br /><br />Not enough to entice you out?  Aside from the fact that the (slight chance) of rain will be over by hash time, how about…<br />There will be a new *full* bar that the DUH (or any hash?) has never been to…that serves great burgers!<br />Cheap beer – can you say $8 pitchers?<br />Did I mention that it’s also Ladies Night – any non-hash drinks are 50% off.  Bring your boobs!<br />A-A Trail<br />There is going to be *good* beer at the beer check.  <br />What the hell…I’ve got a lot of extra beer in the beer fridge…so there is pre-lube, too!<br />There might be a Turkey/Eagle split for you masochists out there…depends on how soon I start to lay the trail.<br />So throw on an extra layer and make sure to bring your flashlight for this one…it’s still dark out there.<br /><br />Hare:  Silver Fux<br />Start Location: 1878 West Mockingbird Lane, parking lot underneath the torn-up bill board<br />Bring:  $7, flashlights, virgins, and an extra supply of boobs<br />Turds:  Friendly for trail, On-In is NOT Friendly<br />	Wed, Jan 8, 2014 at 3:41 PM
9	FU H3 Hash	fu	Malone’s Irish Pub		Pepe Le Pubes	7:00 PM CST		http://www.fuh3.com/?ai1ec_event=open-fuh3-87-january-9th-open&amp;instance_id=2442	$7.00			6:05 PM CST	Thursday, January 9, 2014		Tue, Jan 7, 2014 at 6:54 PM
10	Happy Hour	hh				7:00 PM CST						6:06 PM CST	Friday, January 10, 2014		Sun, Nov 10, 2013 at 1:04 AM
11	Dallas Hash	dh	Incumming Admin	896	Condom Mint<br />Blond Dyke Bar	3:00 PM CST	<br />Parking lot next to Kroger on Campbell. <br />17194 Preston Rd,<br /> Dallas, TX 75248	 http://goo.gl/maps/atupu	$7.00			6:07 PM CST	Saturday, January 11, 2014	When: Saturday at 3pm<br /><br />Where: parking lot next to Kroger on Campbell. <br />17194 Preston Rd, Dallas, TX 75248<br /><br /><a href=" http://goo.gl/maps/atupu">GPS</a>: <br /><br />Virgins: Friendly<br /><br />What to bring: Normal hash stuff like flashlights, change of clothes, dry shoes, etc<br /><br />What: The Incumming Dallas admin (Condom Mint, Blond Dyke Bar) lay a shiggy trail. Expect a beer check and a shot check.  And no whichyways.  Trail will be walker-friendly.<p style="text-align:center; "><span style="font-size:30pt;">🐬</span></p>469-249-0079	Sat, Jan 11, 2014 at 9:32 PM
13	NODUH Hash	nd		94	Just Kelly<br />Just Justin<br />Just RC<br />Deodorcunt	7:00 PM CST	<br />Behind the Walmart @ Custer & Parker<br />3100 Custer<br />Plano, TX 75075.	https://maps.google.com/maps?q=wal-mart&hl=en&ll=33.04013,-96.731486&spn=0.013581,0.014055&sll=33.04013,-96.731486&sspn=0.013581,0.014055&t=m&radius=0.49&hq=wal-mart&z=16&iwloc=A	$7.00	 Trail is TURD friendly, On After is not		6:09 PM CST	Monday, January 13, 2014	Monday's No DUH will start behind the Walmart on Custer & Parker at 3100 Custer, Plano, TX 75075. Pipe Sloth had to go out of town unexpectedly, so Just Kelly, Just Justin & Just RC are co haring... What could possibly go wrong ;-) <br /><br />We've got 2 beer checks, a shot check, a turkey/eagle split, boobs & some of our typical fun checks for you.  So bring your virgins, flashlights, virgins, whistles, and did I mention virgins out to hash with us!!!<br /><br />On After has half price appetizers and happy hour pricing.  Domestic talls (25 oz) are $4.50, domestic pints & bottles are $3, and wells are $3.75. <br />	Mon, Jan 13, 2014 at 9:22 AM
